County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Carroll County,New Hampshire,7.3,0.38
Preble County,Ohio,9.9,0.38
Allegany County,New York,10,0.38
Monroe County,Georgia,10,0.38
Scott County,Indiana,8.2,0.38
Forrest County,Mississippi,10.8,0.38
Washington County,New York,8.8,0.38
Carver County,Minnesota,6.8,0.38
Fayette County,Illinois,7.8,0.38
Butts County,Georgia,8.9,0.38
Laurel County,Kentucky,10.4,0.38
Polk County,Iowa,8.3,0.38
Ida County,Iowa,7.3,0.38
Spencer County,Indiana,7.5,0.38
Cerro Gordo County,Iowa,8.4,0.38
Pointe Coupee Parish,Louisiana,9.4,0.38
Madison County,Kentucky,7.2,0.38
Litchfield County,Connecticut,6.3,0.38
Treutlen County,Georgia,9.5,0.38
Gibson County,Indiana,7.7,0.38
Logan County,Illinois,7,0.38
Laurens County,Georgia,13.3,0.38
Fayette County,Iowa,8.3,0.38
Ripley County,Indiana,7.8,0.38
Marshall County,Indiana,7.2,0.38
Nicholas County,West Virginia,11.3,0.39
Campbell County,Virginia,8.5,0.39
Bennington County,Vermont,7.5,0.39
Albemarle County,Virginia,7.7,0.39
Roane County,West Virginia,10.9,0.39
Lackawanna County,Pennsylvania,9.1,0.39
Greene County,Tennessee,8.9,0.39
Juniata County,Pennsylvania,7.1,0.39
Morgan County,Utah,6.7,0.39
Scott County,Tennessee,8.8,0.39
Knox County,Indiana,8.5,0.39
Athens County,Ohio,9.2,0.39
Clark County,Ohio,10.9,0.39
Owen County,Kentucky,7.7,0.39
Champaign County,Illinois,8.3,0.39
Hardeman County,Tennessee,9.6,0.39
Benton County,Iowa,9,0.39
Lamar County,Mississippi,9.6,0.39
Nodaway County,Missouri,9.4,0.39
Lorain County,Ohio,9.6,0.39
Guernsey County,Ohio,11.5,0.39
Morrison County,Minnesota,7.9,0.39
Fulton County,Kentucky,8.5,0.39
Mccracken County,Kentucky,10,0.39
Steuben County,Indiana,8.5,0.39
Bracken County,Kentucky,6.7,0.39
Lee County,Mississippi,11.7,0.39
Madison County,Iowa,6.6,0.39
Jersey County,Illinois,7.2,0.39
Porter County,Indiana,9.2,0.39
Fayette County,Indiana,8.3,0.39
Hancock County,Kentucky,7.4,0.39
Hancock County,Illinois,6.9,0.39
Berkshire County,Massachusetts,7.4,0.39
Jackson County,Iowa,7.3,0.39
Lasalle County,Illinois,8.5,0.39
Vermillion County,Indiana,8.4,0.39
St. Clair County,Illinois,11.6,0.39
Clay County,Indiana,8.9,0.39
St. Clair County,Alabama,10.6,0.39
Montgomery County,Mississippi,10.5,0.39
Tallapoosa County,Alabama,10.8,0.39
Issaquena County,Mississippi,8.7,0.39
Putnam County,Indiana,10.8,0.39
Prince Edward County,Virginia,9.4,0.39
Sullivan County,Tennessee,11,0.4
Vernon County,Wisconsin,6.6,0.4
Pepin County,Wisconsin,7.1,0.4
Lexington City,Virginia,7.3,0.4
Claiborne County,Tennessee,8.7,0.4
Wayne County,Pennsylvania,8,0.4
Oconee County,South Carolina,10.3,0.4
Morgan County,Ohio,7.7,0.4
Grafton County,New Hampshire,6,0.4
York County,Pennsylvania,8.6,0.4
Whitley County,Indiana,8,0.4
Calhoun County,Mississippi,10.3,0.4
Hawkins County,Tennessee,12.1,0.4
Rutherford County,North Carolina,8.5,0.4
Hancock County,Ohio,8.7,0.4
Meeker County,Minnesota,7.4,0.4
Lauderdale County,Mississippi,11,0.4
Madison Parish,Louisiana,8.8,0.4
Wayne County,Indiana,9.3,0.4
Pawnee County,Nebraska,7,0.4
Marion County,Illinois,8.4,0.4
Hancock County,Iowa,6.6,0.4
Floyd County,Indiana,7,0.4
Tippecanoe County,Indiana,8.7,0.4
Simpson County,Kentucky,7.4,0.4
Owen County,Indiana,10.9,0.4
Quitman County,Mississippi,10.4,0.4
Alachua County,Florida,No Data,0.4
Vermilion County,Illinois,8.7,0.4
Grundy County,Illinois,7.3,0.4
Macoupin County,Illinois,8.1,0.4
Warren County,Indiana,8.9,0.4
Clinton County,Illinois,7,0.4
Iroquois County,Illinois,7.2,0.4
Talladega County,Alabama,10.6,0.4
Brunswick County,Virginia,10,0.41
Henry County,Virginia,12.1,0.41
Crawford County,Wisconsin,6.8,0.41
Washington County,Wisconsin,7,0.41
Green County,Wisconsin,6.6,0.41
Powhatan County,Virginia,7.5,0.41
Covington City,Virginia,7.3,0.41
Johnson County,Tennessee,7.2,0.41
Lancaster County,South Carolina,9.6,0.41
Delaware County,New York,8.1,0.41
Linn County,Missouri,8,0.41
Thayer County,Nebraska,7.3,0.41
Lucas County,Ohio,11.3,0.41
Charlottesville City,Virginia,7.8,0.41
Winnebago County,Iowa,7.9,0.41
Scotland County,Missouri,8.2,0.41
Sandusky County,Ohio,10.2,0.41
Amite County,Mississippi,10.4,0.41
Oneida County,New York,9.6,0.41
Washington County,Maryland,11.5,0.41
Hamilton County,Nebraska,9.2,0.41
Jasper County,Indiana,9.2,0.41
Bullitt County,Kentucky,8.8,0.41
Barren County,Kentucky,8.6,0.41
St. Landry Parish,Louisiana,9,0.41
Fountain County,Indiana,9.5,0.41
Ohio County,Kentucky,9.6,0.41
Washtenaw County,Michigan,7.4,0.41
Worth County,Iowa,7.5,0.41
Poweshiek County,Iowa,7.3,0.41
Wayne County,Kentucky,10.1,0.41
Worcester County,Maryland,10.2,0.41
Charlotte County,Florida,No Data,0.41
Des Moines County,Iowa,8.6,0.41
Clinton County,Kentucky,8.6,0.41
Putnam County,Illinois,7.1,0.41
Richmond County,Georgia,13.5,0.41
Mecklenburg County,Virginia,12,0.42
Suffolk City,Virginia,10,0.42
Roanoke City,Virginia,10.8,0.42
Bedford County,Virginia,7.3,0.42
Jefferson County,West Virginia,9.3,0.42
Starr County,Texas,8.1,0.42
Moore County,Tennessee,7.6,0.42
Johnson County,Kansas,6.9,0.42
Madison County,Ohio,8.8,0.42
Worcester County,Massachusetts,8.2,0.42
Rush County,Indiana,8.8,0.42
Ogle County,Illinois,7,0.42
Upson County,Georgia,8.4,0.42
Rockcastle County,Kentucky,7.1,0.42
Chickasaw County,Mississippi,10.6,0.42
Wabasha County,Minnesota,7.1,0.42
Chambers County,Alabama,10.7,0.42
Henderson County,Kentucky,10.1,0.42
Larue County,Kentucky,7.4,0.42
Oldham County,Kentucky,7.5,0.42
Magoffin County,Kentucky,9,0.42
Jefferson County,Indiana,7.2,0.42
Clay County,Iowa,7.3,0.42
Adams County,Indiana,7.7,0.42
Attala County,Mississippi,11.1,0.42
Pinellas County,Florida,No Data,0.42
Greenup County,Kentucky,10.4,0.42
Randolph County,Illinois,7,0.42
Crisp County,Georgia,9.3,0.42
Iberville Parish,Louisiana,10.9,0.42
Scott County,Kentucky,7.2,0.42
Vigo County,Indiana,11.9,0.42
Howard County,Iowa,7.4,0.42
Sumter County,Florida,No Data,0.42
Garrard County,Kentucky,7.1,0.42
Floyd County,Iowa,8,0.42
Monroe County,West Virginia,9.5,0.43
Salem City,Virginia,7.4,0.43
Sumner County,Tennessee,8,0.43
Pickett County,Tennessee,8.1,0.43
Williamsburg City,Virginia,7.5,0.43
Potter County,Pennsylvania,8.2,0.43
Van Wert County,Ohio,9.8,0.43
Beaufort County,South Carolina,5.5,0.43
Clinton County,Ohio,8.9,0.43
Sullivan County,New Hampshire,7.4,0.43
Charleston County,South Carolina,9.2,0.43
Cortland County,New York,9.1,0.43
Madison County,Tennessee,12.8,0.43
Adair County,Iowa,7.3,0.43
Houston County,Georgia,10.6,0.43
Andrew County,Missouri,7.6,0.43
Monroe County,Michigan,9.2,0.43
Cape Girardeau County,Missouri,9.7,0.43
Trigg County,Kentucky,8.9,0.43
Elbert County,Georgia,7.6,0.43
Wayne County,New York,9.8,0.43
Marshall County,Illinois,7,0.43
Franklin County,Illinois,8.9,0.43
Martin County,Kentucky,7.9,0.43
Clinton County,Iowa,9.6,0.43
Knox County,Illinois,7.5,0.43
Miller County,Georgia,7.7,0.43
Greene County,Indiana,9,0.43
Montgomery County,Indiana,8.7,0.43
Johnson County,Georgia,12.7,0.43
Crawford County,Illinois,7.4,0.43
Mcduffie County,Georgia,8.7,0.43
Humboldt County,Iowa,7.9,0.43
Shelby County,Alabama,9.5,0.43
Abbeville County,South Carolina,9.4,0.44
Halifax County,Virginia,11.2,0.44
Morgan County,West Virginia,8.8,0.44
Orange County,Vermont,7.3,0.44
Hampton County,South Carolina,11.6,0.44
Lebanon County,Pennsylvania,9.1,0.44
Adair County,Kentucky,9.5,0.44
Watauga County,North Carolina,7,0.44
Hooker County,Nebraska,6.6,0.44
Hocking County,Ohio,9.2,0.44
Cape May County,New Jersey,9.3,0.44
Kittson County,Minnesota,8.3,0.44
Tallahatchie County,Mississippi,9.7,0.44
Caldwell Parish,Louisiana,7.7,0.44
Calloway County,Kentucky,8.7,0.44
Ellis County,Kansas,7.6,0.44
Taylor County,Iowa,7.6,0.44
Webster County,Kentucky,8.3,0.44
Somerset County,New Jersey,6.8,0.44
Pendleton County,Kentucky,9,0.44
Blaine County,Nebraska,7,0.44
Black Hawk County,Iowa,9.1,0.44
Martin County,Indiana,7.7,0.44
Flagler County,Florida,No Data,0.44
Madison County,Georgia,8.5,0.44
Cherokee County,Iowa,8.1,0.44
Green County,Kentucky,8.8,0.44
Trego County,Kansas,7.6,0.44
Jackson Parish,Louisiana,7.7,0.44
Dupage County,Illinois,6.7,0.44
Webster County,Mississippi,9.2,0.44
Mclean County,Kentucky,8.8,0.44
Cleburne County,Alabama,8.3,0.44
Appomattox County,Virginia,8.5,0.44
Buckingham County,Virginia,8.7,0.45
Washington County,Tennessee,9.8,0.45
Cameron County,Pennsylvania,8.1,0.45
Summers County,West Virginia,8.4,0.45
Spartanburg County,South Carolina,11.4,0.45
Adams County,Pennsylvania,9,0.45
Elliott County,Kentucky,7.9,0.45
Roane County,Tennessee,8,0.45
Nuckolls County,Nebraska,6.5,0.45
Pike County,Mississippi,13.2,0.45
Tishomingo County,Mississippi,8.7,0.45
Monroe County,New York,9.1,0.45
Huron County,Michigan,8.6,0.45
Chariton County,Missouri,8.9,0.45
Sagadahoc County,Maine,8,0.45
Cecil County,Maryland,9.6,0.45
Cole County,Missouri,8.6,0.45
Lincoln Parish,Louisiana,7.6,0.45
Chenango County,New York,9.5,0.45
Jefferson County,Illinois,7.7,0.45
Forsyth County,Georgia,7.6,0.45
Henry County,Georgia,9.1,0.45
Concordia Parish,Louisiana,11.2,0.45
Broward County,Florida,No Data,0.45
Lamar County,Alabama,8.5,0.45
Gentry County,Missouri,8.7,0.45
Coweta County,Georgia,8.5,0.45
Prairie County,Arkansas,7.8,0.45
Oglethorpe County,Georgia,7.8,0.45
Jefferson County,Iowa,7.1,0.45
Walton County,Georgia,9.5,0.45
Walker County,Georgia,10.6,0.45
Mathews County,Virginia,10.2,0.46
Fayette County,Tennessee,9.1,0.46
Carbon County,Pennsylvania,7.8,0.46
Calhoun County,West Virginia,8.8,0.46
Harrison County,Mississippi,11.6,0.46
Androscoggin County,Maine,8.8,0.46
Schuylkill County,Pennsylvania,7.9,0.46
Warren County,New Jersey,9,0.46
Clinton County,New York,11.1,0.46
Boone County,Missouri,8.4,0.46
Jackson County,Ohio,11.8,0.46
Jackson County,Georgia,8.4,0.46
Blue Earth County,Minnesota,7.9,0.46
Appanoose County,Iowa,8.4,0.46
Keweenaw County,Michigan,6.9,0.46
Vermilion Parish,Louisiana,9.7,0.46
Benton County,Mississippi,8.7,0.46
Allen County,Indiana,10.1,0.46
Morgan County,Illinois,7.1,0.46
Livingston County,Illinois,7.4,0.46
Lee County,Illinois,7,0.46
Crittenden County,Arkansas,10.9,0.46
Arkansas County,Arkansas,9.4,0.46
Clarke County,Georgia,9.8,0.46
Fremont County,Iowa,8.5,0.46
Henry County,Iowa,8,0.46
Troup County,Georgia,11.7,0.46
Williamson County,Illinois,7.6,0.46
Lafayette Parish,Louisiana,10.5,0.46
Clark County,Indiana,9.3,0.46
Jefferson County,Arkansas,12.6,0.46
Carroll County,Indiana,8.2,0.46
Marion County,Indiana,11,0.46
Madison County,Indiana,11.2,0.46
Kauai County,Hawaii,7.1,0.46
Cross County,Arkansas,9,0.46
St. Croix County,Wisconsin,7.9,0.46
Craig County,Virginia,8.1,0.47
Lancaster County,Pennsylvania,6.5,0.47
Greenbrier County,West Virginia,12.6,0.47
Martinsville City,Virginia,8.5,0.47
Loudoun County,Virginia,6.6,0.47
Carter County,Tennessee,11.5,0.47
Danville City,Virginia,10.4,0.47
Haywood County,Tennessee,10.8,0.47
Fairfield County,South Carolina,9.8,0.47
Florence County,South Carolina,13.2,0.47
Gallia County,Ohio,11.5,0.47
Olmsted County,Minnesota,7.3,0.47
Scott County,Missouri,11.5,0.47
Talbot County,Maryland,7,0.47
Tompkins County,New York,7.2,0.47
Adair County,Missouri,8.5,0.47
Seward County,Nebraska,7.1,0.47
East Carroll Parish,Louisiana,8.8,0.47
Wright County,Minnesota,7,0.47
Bacon County,Georgia,8.2,0.47
Jackson County,Michigan,9.9,0.47
Franklin County,Kentucky,8,0.47
Butler County,Alabama,9.8,0.47
Wayne County,Michigan,10.9,0.47
Lincoln County,Maine,6.1,0.47
Franklin County,Missouri,10.2,0.47
Orange County,Indiana,7.9,0.47
Pulaski County,Arkansas,9.9,0.47
Fayette County,Alabama,7.5,0.47
Paulding County,Georgia,10.1,0.47
Logan County,Kentucky,7.7,0.47
Grant County,Indiana,8.3,0.47
Kent County,Maryland,8.7,0.47
Howard County,Maryland,7.1,0.47
Union County,Arkansas,9.5,0.47
Fayette County,Georgia,8.9,0.47
Ouachita County,Arkansas,9,0.47
Autauga County,Alabama,8,0.47
Virginia Beach City,Virginia,9.7,0.48
Northampton County,Virginia,9,0.48
Buffalo County,Wisconsin,7.4,0.48
Taylor County,Wisconsin,8.7,0.48
Lynchburg City,Virginia,8.1,0.48
Fluvanna County,Virginia,8.4,0.48
Henry County,Tennessee,7.6,0.48
Doddridge County,West Virginia,8.6,0.48
Vinton County,Ohio,12.5,0.48
Northampton County,Pennsylvania,9.3,0.48
Wayne County,Tennessee,7.9,0.48
Fulton County,Ohio,8.8,0.48
Lee County,Virginia,10.2,0.48
Clarke County,Mississippi,9.6,0.48
St. Francois County,Missouri,8.6,0.48
Edmonson County,Kentucky,7.4,0.48
Stokes County,North Carolina,8.9,0.48
Nemaha County,Nebraska,7.3,0.48
Wilkes County,North Carolina,7.7,0.48
Perry County,Mississippi,8.9,0.48
Audubon County,Iowa,8.7,0.48
George County,Mississippi,8,0.48
Peoria County,Illinois,8.4,0.48
Jasper County,Mississippi,11.7,0.48
Effingham County,Georgia,10.4,0.48
Leflore County,Mississippi,12.6,0.48
Livingston County,Michigan,6.4,0.48
Henry County,Kentucky,7.4,0.48
Bourbon County,Kentucky,6.9,0.48
Wicomico County,Maryland,10.7,0.48
Carroll County,Kentucky,7.6,0.48
Lee County,Kentucky,8,0.48
Indian River County,Florida,No Data,0.48
Elmore County,Alabama,10.5,0.48
Dekalb County,Georgia,10.7,0.48
Hardin County,Kentucky,10.2,0.48
Crittenden County,Kentucky,8.7,0.48
Nassau County,Florida,No Data,0.48
Columbia County,Georgia,7.6,0.48
Emanuel County,Georgia,8.6,0.48
Hanover County,Virginia,7.8,0.49
Dyer County,Tennessee,8.3,0.49
Franklin City,Virginia,8.5,0.49
Dane County,Wisconsin,5.9,0.49
James City County,Virginia,8.6,0.49
Laurens County,South Carolina,13.8,0.49
Transylvania County,North Carolina,7.5,0.49
Darlington County,South Carolina,12,0.49
Washington County,Nebraska,8.7,0.49
Blount County,Tennessee,10,0.49
Cleveland County,North Carolina,9.9,0.49
Chesapeake City,Virginia,12,0.49
Ulster County,New York,7.6,0.49
Douglas County,Minnesota,6.4,0.49
Knox County,Maine,6.4,0.49
Alcorn County,Mississippi,8.7,0.49
Norton County,Kansas,8.8,0.49
Mason County,Kentucky,8,0.49
Washington County,Kansas,7.6,0.49
Acadia Parish,Louisiana,11.3,0.49
Mahaska County,Iowa,7.7,0.49
Pickens County,Georgia,8.7,0.49
Poinsett County,Arkansas,10.5,0.49
Guthrie County,Iowa,6.3,0.49
Collier County,Florida,No Data,0.49
Phillips County,Arkansas,11.9,0.49
Perry County,Illinois,7.2,0.49
Catoosa County,Georgia,7.4,0.49
Newton County,Georgia,10.9,0.49
Desha County,Arkansas,9.3,0.49
Duval County,Florida,No Data,0.49
Brown County,Indiana,7.3,0.49
Jasper County,Iowa,8.3,0.49
Nevada County,Arkansas,7.8,0.49
Screven County,Georgia,9.1,0.49
Dinwiddie County,Virginia,10,0.5
Wilson County,Tennessee,9.1,0.5
Allendale County,South Carolina,11.1,0.5
Staunton City,Virginia,6.9,0.5
Zapata County,Texas,6.9,0.5
Paulding County,Ohio,8.9,0.5
Jefferson County,Tennessee,8.8,0.5
Lincoln County,Missouri,9.3,0.5
Cumberland County,Tennessee,10,0.5
Lincoln County,Minnesota,7.3,0.5
Queen Anne&#39;s County,Maryland,7.7,0.5
Champaign County,Ohio,7.7,0.5
Mississippi County,Missouri,9,0.5
Candler County,Georgia,8.1,0.5
Greene County,New York,7.8,0.5
Wyoming County,New York,9.9,0.5
Nantucket County,Massachusetts,7.1,0.5
Mason County,Illinois,7.2,0.5
Brevard County,Florida,No Data,0.5
Cass County,Iowa,8.2,0.5
Switzerland County,Indiana,7.6,0.5
Tangipahoa Parish,Louisiana,10.8,0.5
Jackson County,Mississippi,11.3,0.5
Gasconade County,Missouri,8.6,0.5
Howard County,Indiana,11.1,0.5
Noble County,Indiana,9.1,0.5
Franklin County,Georgia,7.9,0.5
Grundy County,Missouri,7.9,0.5
Laporte County,Indiana,11.8,0.5
Kosciusko County,Indiana,8.6,0.5
Pulaski County,Indiana,7.6,0.5
Johnson County,Illinois,7.2,0.5
Russell County,Kentucky,8.1,0.5
Bartholomew County,Indiana,10,0.5
Kankakee County,Illinois,8.2,0.5
Putnam County,Georgia,8.3,0.5
Lauderdale County,Alabama,10.8,0.5
Ware County,Georgia,11,0.5
Bryan County,Georgia,9.6,0.5
Ascension Parish,Louisiana,10.5,0.5
Walworth County,Wisconsin,6.6,0.51
Jefferson County,Wisconsin,6,0.51
Isle Of Wight County,Virginia,10.3,0.51
Spotsylvania County,Virginia,7.7,0.51
Portage County,Wisconsin,6.5,0.51
Henderson County,Tennessee,11,0.51
Greenville County,South Carolina,9.1,0.51
Rappahannock County,Virginia,8,0.51
White County,Tennessee,7.4,0.51
Lawrence County,Tennessee,8,0.51
Somerset County,Maryland,11.9,0.51
Cayuga County,New York,8.8,0.51
Lucas County,Iowa,8.1,0.51
Winona County,Minnesota,9.3,0.51
Dodge County,Minnesota,8.1,0.51
Calvert County,Maryland,10.8,0.51
Livingston County,New York,9.1,0.51
Anne Arundel County,Maryland,9,0.51
Franklin County,Massachusetts,6.8,0.51
Warren County,Illinois,7.4,0.51
Oswego County,New York,8.6,0.51
Bienville Parish,Louisiana,8.5,0.51
New Castle County,Delaware,10,0.51
Jones County,Iowa,9.9,0.51
Lawrence County,Indiana,8.4,0.51
Greene County,Alabama,10.7,0.51
Dooly County,Georgia,9.1,0.51
Whiteside County,Illinois,8.3,0.51
Crawford County,Indiana,9.4,0.51
Citrus County,Florida,No Data,0.51
Livingston Parish,Louisiana,10.3,0.51
Monroe County,Florida,No Data,0.51
Lee County,Florida,No Data,0.51
Seminole County,Florida,No Data,0.51
Fannin County,Georgia,8.3,0.51
Douglas County,Illinois,7.1,0.51
Randolph County,Indiana,8.2,0.51
Telfair County,Georgia,10.4,0.51
York County,Virginia,7.2,0.51
Petersburg City,Virginia,13.4,0.52
Portsmouth City,Virginia,16.8,0.52
Caledonia County,Vermont,7.6,0.52
Franklin County,Virginia,7.6,0.52
Louisa County,Virginia,8.4,0.52
Fentress County,Tennessee,9.1,0.52
Richmond County,Virginia,8.5,0.52
Marshall County,Mississippi,11.6,0.52
Miner County,South Dakota,7.3,0.52
Moniteau County,Missouri,8.3,0.52
Stearns County,Minnesota,7.8,0.52
Volusia County,Florida,No Data,0.52
Washington Parish,Louisiana,13,0.52
Waldo County,Maine,7.2,0.52
Marion County,Alabama,8,0.52
Hancock County,Maine,6.4,0.52
St. Charles Parish,Louisiana,9.6,0.52
Starke County,Indiana,7.7,0.52
Tift County,Georgia,11.4,0.52
Washington County,Colorado,7.6,0.52
Lincoln County,Georgia,9.1,0.52
Mcdonough County,Illinois,7,0.52
Will County,Illinois,7.9,0.52
Randolph County,Alabama,10.9,0.52
Saline County,Illinois,7,0.52
St. Mary&#39;s County,Maryland,10.8,0.52
Lowndes County,Georgia,12.9,0.52
Cobb County,Georgia,7.9,0.52
Shenandoah County,Virginia,8.3,0.53
Mcdowell County,West Virginia,10.4,0.53
Sumter County,South Carolina,13.9,0.53
Greene County,Virginia,7.3,0.53
Gloucester County,Virginia,8.9,0.53
Lee County,South Carolina,8.8,0.53
Dauphin County,Pennsylvania,8.5,0.53
Overton County,Tennessee,7.5,0.53
Warren County,Tennessee,8.7,0.53
Van Buren County,Tennessee,7.3,0.53
Davis County,Iowa,7.9,0.53
St. Helena Parish,Louisiana,8.2,0.53
Calhoun County,Georgia,9.6,0.53
Tippah County,Mississippi,9.1,0.53
Evangeline Parish,Louisiana,9,0.53
Baltimore County,Maryland,9.7,0.53
Kalamazoo County,Michigan,7.8,0.53
Union County,Georgia,8.1,0.53
Calhoun County,Alabama,12,0.53
Jasper County,Georgia,8.1,0.53
Baltimore City,Maryland,11.4,0.53
Baker County,Florida,No Data,0.53
Casey County,Kentucky,6.8,0.53
Carroll County,Illinois,6.8,0.53
Oxford County,Maine,8.8,0.53
Parke County,Indiana,8.9,0.53
Pasco County,Florida,No Data,0.53
O&#39;brien County,Iowa,6.1,0.53
Muscogee County,Georgia,14,0.53
Sumter County,Georgia,10.7,0.53
Surry County,Virginia,8.4,0.54
La Crosse County,Wisconsin,7.8,0.54
Kershaw County,South Carolina,11.1,0.54
Grainger County,Tennessee,8.3,0.54
Tipton County,Tennessee,10,0.54
Anderson County,Tennessee,9.6,0.54
Maury County,Tennessee,9.7,0.54
Weakley County,Tennessee,8.3,0.54
Perry County,Missouri,8.5,0.54
Kandiyohi County,Minnesota,6.4,0.54
Stanly County,North Carolina,8.5,0.54
Le Sueur County,Minnesota,7.6,0.54
Osage County,Missouri,8.1,0.54
Bristol City,Virginia,7.3,0.54
Lincoln County,North Carolina,7.2,0.54
Saunders County,Nebraska,7.8,0.54
Stoddard County,Missouri,12.6,0.54
Davidson County,Tennessee,9.5,0.54
Union County,Pennsylvania,8.3,0.54
Perquimans County,North Carolina,7.9,0.54
Valley County,Nebraska,6.5,0.54
Mineral County,Colorado,7.2,0.54
Midland County,Michigan,8.4,0.54
Franklin County,Maine,7.3,0.54
Wallace County,Kansas,7.3,0.54
Gallatin County,Kentucky,7.6,0.54
Boone County,Iowa,7.5,0.54
Dunklin County,Missouri,13.5,0.54
Peach County,Georgia,10.6,0.54
Early County,Georgia,8.7,0.54
Ottawa County,Michigan,7.7,0.54
Greene County,Arkansas,12.9,0.54
Spalding County,Georgia,8.7,0.54
Bureau County,Illinois,7.8,0.54
Dekalb County,Illinois,7.7,0.54
Mcpherson County,South Dakota,6.5,0.54
Bulloch County,Georgia,9.8,0.54
Kent County,Rhode Island,7.9,0.55
Pike County,Pennsylvania,7.7,0.55
Henry County,Ohio,7,0.55
Marshall County,Tennessee,8.4,0.55
Morgan County,Tennessee,7.8,0.55
Frederick County,Maryland,8.3,0.55
Houston County,Tennessee,7.1,0.55
Decatur County,Tennessee,8.1,0.55
Twiggs County,Georgia,8.9,0.55
Buncombe County,North Carolina,7,0.55
Caddo Parish,Louisiana,13.1,0.55
Steele County,Minnesota,7.8,0.55
Lapeer County,Michigan,9,0.55
Oneida County,Idaho,8.6,0.55
Wolfe County,Kentucky,9.1,0.55
St. Clair County,Michigan,8.7,0.55
Craighead County,Arkansas,10,0.55
Hamilton County,Illinois,7,0.55
Clay County,Florida,No Data,0.55
Hampton City,Virginia,11.2,0.56
Braxton County,West Virginia,11.3,0.56
Lexington County,South Carolina,10,0.56
Richmond City,Virginia,10.2,0.56
Mcminn County,Tennessee,11.2,0.56
Sequatchie County,Tennessee,8.2,0.56
Williamsburg County,South Carolina,17.5,0.56
Defiance County,Ohio,10.2,0.56
Poquoson City,Virginia,7.1,0.56
Cherokee County,South Carolina,11.8,0.56
Faulk County,South Dakota,6.5,0.56
Dutchess County,New York,8.5,0.56
Walthall County,Mississippi,12.9,0.56
Shiawassee County,Michigan,7.4,0.56
Yazoo County,Mississippi,8.3,0.56
Jenkins County,Georgia,8.1,0.56
Warren County,Missouri,6.9,0.56
Genesee County,Michigan,10.9,0.56
Lake County,Indiana,11,0.56
Lawrence County,Illinois,7.6,0.56
Washington County,Missouri,9.5,0.56
Hillsborough County,Florida,No Data,0.56
Newton County,Indiana,9.3,0.56
Henry County,Alabama,7.8,0.56
Greene County,Iowa,8.5,0.56
Hernando County,Florida,No Data,0.56
Clinton County,Indiana,8.4,0.56
Douglas County,Colorado,5.2,0.56
Walker County,Alabama,9.4,0.56
Fairfax County,Virginia,6.2,0.56
Franklin County,Tennessee,8.7,0.57
Giles County,Tennessee,9.3,0.57
Bamberg County,South Carolina,9.9,0.57
Frontier County,Nebraska,6.8,0.57
Camden County,North Carolina,7.3,0.57
Hidalgo County,Texas,13.9,0.57
Mcnairy County,Tennessee,8.5,0.57
Essex County,New York,8.2,0.57
Harrison County,Missouri,8.8,0.57
Tuscarawas County,Ohio,9,0.57
Monroe County,Missouri,8.3,0.57
Forest County,Pennsylvania,7.3,0.57
Murray County,Minnesota,7.1,0.57
Eaton County,Michigan,9.1,0.57
St. Joseph County,Indiana,9.9,0.57
East Feliciana Parish,Louisiana,10.1,0.57
Chowan County,North Carolina,8.3,0.57
Clayton County,Georgia,13.8,0.57
Kossuth County,Iowa,9.2,0.57
Jefferson County,Florida,No Data,0.57
Hawaii County,Hawaii,7.7,0.57
Shelby County,Kentucky,7.3,0.57
Mchenry County,Illinois,7.8,0.57
Bibb County,Alabama,9.1,0.57
Marion County,Florida,No Data,0.57
Pulaski County,Georgia,10.2,0.57
Brooks County,Georgia,10.1,0.57
Webb County,Texas,8.8,0.57
Galax City,Virginia,7.1,0.58
Pierce County,Wisconsin,7.7,0.58
Charlotte County,Virginia,9.9,0.58
Middlesex County,Virginia,7.3,0.58
Summit County,Utah,5.6,0.58
Horry County,South Carolina,10.3,0.58
Polk County,Tennessee,8.9,0.58
Clarendon County,South Carolina,9.9,0.58
Scioto County,Ohio,12.7,0.58
Marion County,Tennessee,7.9,0.58
Coos County,New Hampshire,8.7,0.58
Pitt County,North Carolina,9,0.58
Adams County,Iowa,7,0.58
Union County,Tennessee,8.7,0.58
Hardin County,Tennessee,9.7,0.58
Daviess County,Missouri,8.4,0.58
Webster Parish,Louisiana,10,0.58
Putnam County,New York,6.4,0.58
Clinton County,Michigan,8.3,0.58
