County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Schuyler County,Missouri,6.9,0.25
Cumberland County,Pennsylvania,8.1,0.25
Chittenden County,Vermont,5.9,0.25
Trumbull County,Ohio,11,0.25
Saratoga County,New York,6.9,0.25
Jefferson County,Mississippi,9.7,0.25
Winneshiek County,Iowa,7,0.25
West Feliciana Parish,Louisiana,8.1,0.25
Ohio County,Indiana,6.7,0.25
Hickman County,Kentucky,7.7,0.25
Jackson County,Kentucky,9.5,0.25
Warren County,Georgia,9.1,0.25
Dearborn County,Indiana,9.6,0.25
Wilcox County,Alabama,11.2,0.25
Buchanan County,Iowa,8.6,0.25
Highland County,Virginia,6.6,0.26
Tucker County,West Virginia,8,0.26
Floyd County,Virginia,6.8,0.26
Crawford County,Pennsylvania,7,0.26
Columbia County,Pennsylvania,7.2,0.26
Jefferson County,Pennsylvania,9.8,0.26
Morrow County,Ohio,8.8,0.26
Garrett County,Maryland,10.5,0.26
Lycoming County,Pennsylvania,7.5,0.26
Wayne County,Iowa,8.3,0.26
Washington County,Mississippi,12.8,0.26
Venango County,Pennsylvania,7.3,0.26
Tunica County,Mississippi,9.1,0.26
Norfolk County,Massachusetts,7,0.26
Claiborne County,Mississippi,9.9,0.26
Fairfield County,Ohio,10.6,0.26
Wilkinson County,Mississippi,9.2,0.26
