County_FIPS,County,State,Overall SVI-2018-Percentile
6099,Stanislaus County,California,0.8675
6101,Sutter County,California,0.8822
6103,Tehama County,California,0.9624
6105,Trinity County,California,0.7411
6107,Tulare County,California,0.9417
6109,Tuolumne County,California,0.4688
6111,Ventura County,California,0.4828
6113,Yolo County,California,0.6768
6115,Yuba County,California,0.942
8001,Adams County,Colorado,0.5892
8003,Alamosa County,Colorado,0.9452
8005,Arapahoe County,Colorado,0.2662
8007,Archuleta County,Colorado,0.257
8009,Baca County,Colorado,0.6086
8011,Bent County,Colorado,0.8981
8013,Boulder County,Colorado,0.1704
8014,Broomfield County,Colorado,0.049
8015,Chaffee County,Colorado,0.2389
8017,Cheyenne County,Colorado,0.2589
8019,Clear Creek County,Colorado,0.0197
8021,Conejos County,Colorado,0.9325
8023,Costilla County,Colorado,0.9379
8025,Crowley County,Colorado,0.893
8027,Custer County,Colorado,0.2433
8029,Delta County,Colorado,0.6866
8031,Denver County,Colorado,0.4197
8033,Dolores County,Colorado,0.1516
8035,Douglas County,Colorado,0.015
8037,Eagle County,Colorado,0.1369
8041,El Paso County,Colorado,0.3927
8039,Elbert County,Colorado,0
8043,Fremont County,Colorado,0.6525
8045,Garfield County,Colorado,0.351
8047,Gilpin County,Colorado,0.0022
8049,Grand County,Colorado,0.0987
8051,Gunnison County,Colorado,0.1392
8053,Hinsdale County,Colorado,0.0624
8055,Huerfano County,Colorado,0.5955
8057,Jackson County,Colorado,0.1137
8059,Jefferson County,Colorado,0.0627
8061,Kiowa County,Colorado,0.3188
8063,Kit Carson County,Colorado,0.5153
8067,La Plata County,Colorado,0.1086
8065,Lake County,Colorado,0.4452
8069,Larimer County,Colorado,0.1194
8071,Las Animas County,Colorado,0.8373
8073,Lincoln County,Colorado,0.4857
8075,Logan County,Colorado,0.628
8077,Mesa County,Colorado,0.5755
8079,Mineral County,Colorado,0.0261
8081,Moffat County,Colorado,0.5471
8083,Montezuma County,Colorado,0.4946
8085,Montrose County,Colorado,0.7153
8087,Morgan County,Colorado,0.7414
8089,Otero County,Colorado,0.9561
8091,Ouray County,Colorado,0.0239
8093,Park County,Colorado,0.0006
8095,Phillips County,Colorado,0.2955
8097,Pitkin County,Colorado,0.0656
8099,Prowers County,Colorado,0.9392
8101,Pueblo County,Colorado,0.8669
8103,Rio Blanco County,Colorado,0.3401
8105,Rio Grande County,Colorado,0.9586
8107,Routt County,Colorado,0.0634
8109,Saguache County,Colorado,0.807
8111,San Juan County,Colorado,0.1283
8113,San Miguel County,Colorado,0.0331
8115,Sedgwick County,Colorado,0.6936
8117,Summit County,Colorado,0.0707
8119,Teller County,Colorado,0.0729
8121,Washington County,Colorado,0.2822
8123,Weld County,Colorado,0.3994
8125,Yuma County,Colorado,0.5637
9001,Fairfield County,Connecticut,0.4497
9003,Hartford County,Connecticut,0.515
9005,Litchfield County,Connecticut,0.0818
9007,Middlesex County,Connecticut,0.1182
9009,New Haven County,Connecticut,0.5223
9011,New London County,Connecticut,0.3561
9013,Tolland County,Connecticut,0.0694
9015,Windham County,Connecticut,0.4232
10001,Kent County,Delaware,0.7268
10003,New Castle County,Delaware,0.3761
10005,Sussex County,Delaware,0.4019
11001,District Of Columbia,District of Columbia,0.5965
12001,Alachua County,Florida,0.4729
12003,Baker County,Florida,0.6803
12005,Bay County,Florida,0.6076
12007,Bradford County,Florida,0.9264
12009,Brevard County,Florida,0.3713
12011,Broward County,Florida,0.5844
12013,Calhoun County,Florida,0.8401
12015,Charlotte County,Florida,0.4889
12017,Citrus County,Florida,0.6022
12019,Clay County,Florida,0.3803
12021,Collier County,Florida,0.4618
12023,Columbia County,Florida,0.8596
12027,Desoto County,Florida,0.9618
12029,Dixie County,Florida,0.8994
12031,Duval County,Florida,0.692
12033,Escambia County,Florida,0.4863
12035,Flagler County,Florida,0.2799
12037,Franklin County,Florida,0.8083
12039,Gadsden County,Florida,0.9901
12041,Gilchrist County,Florida,0.7567
12043,Glades County,Florida,0.9048
12045,Gulf County,Florida,0.592
12047,Hamilton County,Florida,0.9908
12049,Hardee County,Florida,0.9831
12051,Hendry County,Florida,0.9939
12053,Hernando County,Florida,0.549
12055,Highlands County,Florida,0.8729
12057,Hillsborough County,Florida,0.6701
12059,Holmes County,Florida,0.9347
12061,Indian River County,Florida,0.3962
12063,Jackson County,Florida,0.9583
12065,Jefferson County,Florida,0.5748
12067,Lafayette County,Florida,0.9806
12069,Lake County,Florida,0.6029
12071,Lee County,Florida,0.5525
12073,Leon County,Florida,0.4943
12075,Levy County,Florida,0.7793
12077,Liberty County,Florida,0.8334
12079,Madison County,Florida,0.9608
12081,Manatee County,Florida,0.5197
12083,Marion County,Florida,0.7535
12085,Martin County,Florida,0.399
12086,Miami-Dade County,Florida,0.8175
12087,Monroe County,Florida,0.4557
12089,Nassau County,Florida,0.2459
12091,Okaloosa County,Florida,0.386
12093,Okeechobee County,Florida,0.9465
12095,Orange County,Florida,0.6691
12097,Osceola County,Florida,0.8178
12099,Palm Beach County,Florida,0.5592
12101,Pasco County,Florida,0.6344
12103,Pinellas County,Florida,0.5169
12105,Polk County,Florida,0.9035
12107,Putnam County,Florida,0.9525
12113,Santa Rosa County,Florida,0.3096
12115,Sarasota County,Florida,0.2538
12117,Seminole County,Florida,0.1844
12109,St. Johns County,Florida,0.0761
12111,St. Lucie County,Florida,0.7185
12119,Sumter County,Florida,0.236
12121,Suwannee County,Florida,0.9424
12123,Taylor County,Florida,0.8984
12125,Union County,Florida,0.8382
12127,Volusia County,Florida,0.5347
12129,Wakulla County,Florida,0.4032
12131,Walton County,Florida,0.5822
12133,Washington County,Florida,0.8939
13001,Appling County,Georgia,0.9669
13003,Atkinson County,Georgia,0.9615
13005,Bacon County,Georgia,0.9389
13007,Baker County,Georgia,0.7424
13009,Baldwin County,Georgia,0.8666
13011,Banks County,Georgia,0.5586
13013,Barrow County,Georgia,0.4204
13015,Bartow County,Georgia,0.5914
13017,Ben Hill County,Georgia,0.8726
13019,Berrien County,Georgia,0.85
13021,Bibb County,Georgia,0.9175
13023,Bleckley County,Georgia,0.7395
13025,Brantley County,Georgia,0.6229
13027,Brooks County,Georgia,0.8398
13029,Bryan County,Georgia,0.3389
13031,Bulloch County,Georgia,0.8121
13033,Burke County,Georgia,0.8455
13035,Butts County,Georgia,0.7653
13037,Calhoun County,Georgia,0.9774
13039,Camden County,Georgia,0.5159
13043,Candler County,Georgia,0.9828
13045,Carroll County,Georgia,0.7825
13047,Catoosa County,Georgia,0.1318
13049,Charlton County,Georgia,0.8752
13051,Chatham County,Georgia,0.6949
13053,Chattahoochee County,Georgia,0.6379
13055,Chattooga County,Georgia,0.9252
13057,Cherokee County,Georgia,0.1185
13059,Clarke County,Georgia,0.7675
13061,Clay County,Georgia,0.9309
13063,Clayton County,Georgia,0.9102
13065,Clinch County,Georgia,0.9777
13067,Cobb County,Georgia,0.2669
13069,Coffee County,Georgia,0.9506
13071,Colquitt County,Georgia,0.9812
13073,Columbia County,Georgia,0.1334
13075,Cook County,Georgia,0.851
13077,Coweta County,Georgia,0.2427
13079,Crawford County,Georgia,0.6815
13081,Crisp County,Georgia,0.9857
13083,Dade County,Georgia,0.5156
13085,Dawson County,Georgia,0.1038
13087,Decatur County,Georgia,0.9455
13089,Dekalb County,Georgia,0.6611
13091,Dodge County,Georgia,0.9223
13093,Dooly County,Georgia,0.9484
13095,Dougherty County,Georgia,0.9513
13097,Douglas County,Georgia,0.5404
13099,Early County,Georgia,0.9201
13101,Echols County,Georgia,0.6615
13103,Effingham County,Georgia,0.2363
13105,Elbert County,Georgia,0.8338
13107,Emanuel County,Georgia,0.9768
13109,Evans County,Georgia,0.9847
13111,Fannin County,Georgia,0.3003
13113,Fayette County,Georgia,0.0608
13115,Floyd County,Georgia,0.8854
13117,Forsyth County,Georgia,0.0373
13119,Franklin County,Georgia,0.8462
13121,Fulton County,Georgia,0.5268
13123,Gilmer County,Georgia,0.5599
13125,Glascock County,Georgia,0.686
13127,Glynn County,Georgia,0.7159
13129,Gordon County,Georgia,0.8806
13131,Grady County,Georgia,0.9258
13133,Greene County,Georgia,0.5379
13135,Gwinnett County,Georgia,0.4347
13137,Habersham County,Georgia,0.7146
13139,Hall County,Georgia,0.6618
13141,Hancock County,Georgia,0.7984
13143,Haralson County,Georgia,0.5427
13145,Harris County,Georgia,0.1341
13147,Hart County,Georgia,0.7194
13149,Heard County,Georgia,0.7232
13151,Henry County,Georgia,0.3137
13153,Houston County,Georgia,0.5669
13155,Irwin County,Georgia,0.8408
13157,Jackson County,Georgia,0.3516
13159,Jasper County,Georgia,0.6927
13161,Jeff Davis County,Georgia,0.9373
13163,Jefferson County,Georgia,0.9439
13165,Jenkins County,Georgia,0.8283
13167,Johnson County,Georgia,0.9061
13169,Jones County,Georgia,0.3793
13171,Lamar County,Georgia,0.4917
13173,Lanier County,Georgia,0.8697
13175,Laurens County,Georgia,0.8013
13177,Lee County,Georgia,0.3519
13179,Liberty County,Georgia,0.8882
13181,Lincoln County,Georgia,0.5564
13183,Long County,Georgia,0.8271
13185,Lowndes County,Georgia,0.8662
13187,Lumpkin County,Georgia,0.4338
13193,Macon County,Georgia,0.9312
13195,Madison County,Georgia,0.6417
13197,Marion County,Georgia,0.8519
13189,Mcduffie County,Georgia,0.9376
13191,Mcintosh County,Georgia,0.5863
13199,Meriwether County,Georgia,0.8701
13201,Miller County,Georgia,0.7799
13205,Mitchell County,Georgia,0.9879
13207,Monroe County,Georgia,0.4596
13209,Montgomery County,Georgia,0.8465
13211,Morgan County,Georgia,0.2446
13213,Murray County,Georgia,0.7134
13215,Muscogee County,Georgia,0.9003
13217,Newton County,Georgia,0.707
13219,Oconee County,Georgia,0.0354
13221,Oglethorpe County,Georgia,0.5217
13223,Paulding County,Georgia,0.1376
13225,Peach County,Georgia,0.9404
13227,Pickens County,Georgia,0.2796
13229,Pierce County,Georgia,0.657
13231,Pike County,Georgia,0.151
13233,Polk County,Georgia,0.8048
13235,Pulaski County,Georgia,0.8459
13237,Putnam County,Georgia,0.428
13239,Quitman County,Georgia,0.9433
13241,Rabun County,Georgia,0.5341
13243,Randolph County,Georgia,0.9739
13245,Richmond County,Georgia,0.9328
13247,Rockdale County,Georgia,0.5529
13249,Schley County,Georgia,0.8248
13251,Screven County,Georgia,0.8525
13253,Seminole County,Georgia,0.8344
13255,Spalding County,Georgia,0.8691
13257,Stephens County,Georgia,0.7968
13259,Stewart County,Georgia,0.9245
13261,Sumter County,Georgia,0.9764
13263,Talbot County,Georgia,0.8589
13265,Taliaferro County,Georgia,0.9089
13267,Tattnall County,Georgia,0.908
13269,Taylor County,Georgia,0.9197
13271,Telfair County,Georgia,0.8369
13273,Terrell County,Georgia,0.957
13275,Thomas County,Georgia,0.9108
13277,Tift County,Georgia,0.8809
13279,Toombs County,Georgia,0.9761
13281,Towns County,Georgia,0.3258
13283,Treutlen County,Georgia,0.9471
13285,Troup County,Georgia,0.9013
13287,Turner County,Georgia,0.9809
13289,Twiggs County,Georgia,0.758
13291,Union County,Georgia,0.3115
13293,Upson County,Georgia,0.8532
13295,Walker County,Georgia,0.6408
13297,Walton County,Georgia,0.293
13299,Ware County,Georgia,0.8449
13301,Warren County,Georgia,0.8946
13303,Washington County,Georgia,0.9462
13305,Wayne County,Georgia,0.9166
13307,Webster County,Georgia,0.7876
13309,Wheeler County,Georgia,0.8124
13311,White County,Georgia,0.2357
13313,Whitfield County,Georgia,0.8793
13315,Wilcox County,Georgia,0.8169
13317,Wilkes County,Georgia,0.7561
13319,Wilkinson County,Georgia,0.7873
13321,Worth County,Georgia,0.7357
15001,Hawaii County,Hawaii,0.5771
15003,Honolulu County,Hawaii,0.472
15005,Kalawao County,Hawaii,0.3162
15007,Kauai County,Hawaii,0.3099
15009,Maui County,Hawaii,0.3879
16001,Ada County,Idaho,0.1373
16003,Adams County,Idaho,0.2936
16005,Bannock County,Idaho,0.579
16007,Bear Lake County,Idaho,0.2143
16009,Benewah County,Idaho,0.7334
16011,Bingham County,Idaho,0.507
16013,Blaine County,Idaho,0.3239
16015,Boise County,Idaho,0.0672
16017,Bonner County,Idaho,0.2401
16019,Bonneville County,Idaho,0.3634
16021,Boundary County,Idaho,0.3083
16023,Butte County,Idaho,0.2462
16025,Camas County,Idaho,0.1338
16027,Canyon County,Idaho,0.7366
16029,Caribou County,Idaho,0.1917
16031,Cassia County,Idaho,0.6732
16033,Clark County,Idaho,0.8911
16035,Clearwater County,Idaho,0.4401
16037,Custer County,Idaho,0.4369
16039,Elmore County,Idaho,0.5882
16041,Franklin County,Idaho,0.1414
16043,Fremont County,Idaho,0.5137
16045,Gem County,Idaho,0.6627
16047,Gooding County,Idaho,0.7076
16049,Idaho County,Idaho,0.5392
16051,Jefferson County,Idaho,0.2525
16053,Jerome County,Idaho,0.6736
16055,Kootenai County,Idaho,0.2328
16057,Latah County,Idaho,0.2484
16059,Lemhi County,Idaho,0.2997
16061,Lewis County,Idaho,0.5678
16063,Lincoln County,Idaho,0.5576
16065,Madison County,Idaho,0.4029
16067,Minidoka County,Idaho,0.6783
16069,Nez Perce County,Idaho,0.5067
16071,Oneida County,Idaho,0.3424
16073,Owyhee County,Idaho,0.8245
16075,Payette County,Idaho,0.601
16077,Power County,Idaho,0.5162
16079,Shoshone County,Idaho,0.757
16081,Teton County,Idaho,0.1344
16083,Twin Falls County,Idaho,0.4955
16085,Valley County,Idaho,0.0882
16087,Washington County,Idaho,0.8506
17001,Adams County,Illinois,0.249
17003,Alexander County,Illinois,0.9573
17005,Bond County,Illinois,0.3732
17007,Boone County,Illinois,0.4697
17009,Brown County,Illinois,0.4745
17011,Bureau County,Illinois,0.2863
17013,Calhoun County,Illinois,0.1901
17015,Carroll County,Illinois,0.1682
17017,Cass County,Illinois,0.6971
17019,Champaign County,Illinois,0.499
17021,Christian County,Illinois,0.2408
17023,Clark County,Illinois,0.2073
17025,Clay County,Illinois,0.6115
17027,Clinton County,Illinois,0.1787
17029,Coles County,Illinois,0.4978
17031,Cook County,Illinois,0.6755
17033,Crawford County,Illinois,0.3838
17035,Cumberland County,Illinois,0.1627
17039,De Witt County,Illinois,0.129
17037,Dekalb County,Illinois,0.4866
17041,Douglas County,Illinois,0.4439
17043,Dupage County,Illinois,0.1611
17045,Edgar County,Illinois,0.3433
17047,Edwards County,Illinois,0.2443
17049,Effingham County,Illinois,0.199
17051,Fayette County,Illinois,0.5949
17053,Ford County,Illinois,0.3051
17055,Franklin County,Illinois,0.6092
17057,Fulton County,Illinois,0.5761
17059,Gallatin County,Illinois,0.4538
17061,Greene County,Illinois,0.1952
17063,Grundy County,Illinois,0.0844
17065,Hamilton County,Illinois,0.1529
17067,Hancock County,Illinois,0.1232
17069,Hardin County,Illinois,0.5019
17071,Henderson County,Illinois,0.0669
17073,Henry County,Illinois,0.201
17075,Iroquois County,Illinois,0.3404
17077,Jackson County,Illinois,0.7045
17079,Jasper County,Illinois,0.2417
17081,Jefferson County,Illinois,0.8108
17083,Jersey County,Illinois,0.1041
17085,Jo Daviess County,Illinois,0.0525
17087,Johnson County,Illinois,0.4624
17089,Kane County,Illinois,0.4169
17091,Kankakee County,Illinois,0.6656
17093,Kendall County,Illinois,0.1398
17095,Knox County,Illinois,0.6462
17097,Lake County,Illinois,0.3513
17099,Lasalle County,Illinois,0.4303
17101,Lawrence County,Illinois,0.7783
17103,Lee County,Illinois,0.301
17105,Livingston County,Illinois,0.4841
17107,Logan County,Illinois,0.2271
17115,Macon County,Illinois,0.5971
17117,Macoupin County,Illinois,0.1987
17119,Madison County,Illinois,0.2965
17121,Marion County,Illinois,0.7385
17123,Marshall County,Illinois,0.0545
17125,Mason County,Illinois,0.2946
17127,Massac County,Illinois,0.7513
17109,Mcdonough County,Illinois,0.5166
17111,Mchenry County,Illinois,0.0701
17113,Mclean County,Illinois,0.1904
17129,Menard County,Illinois,0.0484
17131,Mercer County,Illinois,0.1134
17133,Monroe County,Illinois,0.0016
17135,Montgomery County,Illinois,0.3914
17137,Morgan County,Illinois,0.5045
17139,Moultrie County,Illinois,0.2949
17141,Ogle County,Illinois,0.2917
17143,Peoria County,Illinois,0.6131
17145,Perry County,Illinois,0.6487
17147,Piatt County,Illinois,0.0032
17149,Pike County,Illinois,0.3494
17151,Pope County,Illinois,0.4545
17153,Pulaski County,Illinois,0.6943
17155,Putnam County,Illinois,0.0277
17157,Randolph County,Illinois,0.4567
17159,Richland County,Illinois,0.4105
17161,Rock Island County,Illinois,0.7137
17165,Saline County,Illinois,0.8637
17167,Sangamon County,Illinois,0.4357
17169,Schuyler County,Illinois,0.5707
17171,Scott County,Illinois,0.1354
17173,Shelby County,Illinois,0.085
17163,St. Clair County,Illinois,0.5229
17175,Stark County,Illinois,0.0634
17177,Stephenson County,Illinois,0.5
17179,Tazewell County,Illinois,0.107
17181,Union County,Illinois,0.6844
17183,Vermilion County,Illinois,0.8131
17185,Wabash County,Illinois,0.3207
17187,Warren County,Illinois,0.6073
17189,Washington County,Illinois,0.0653
17191,Wayne County,Illinois,0.4331
17193,White County,Illinois,0.5382
17195,Whiteside County,Illinois,0.3283
17197,Will County,Illinois,0.2022
17199,Williamson County,Illinois,0.4806
17201,Winnebago County,Illinois,0.7204
17203,Woodford County,Illinois,0.0188
18001,Adams County,Indiana,0.5904
18003,Allen County,Indiana,0.5236
18005,Bartholomew County,Indiana,0.3631
18007,Benton County,Indiana,0.3347
18009,Blackford County,Indiana,0.371
18011,Boone County,Indiana,0.0449
18013,Brown County,Indiana,0.0602
18015,Carroll County,Indiana,0.1175
18017,Cass County,Indiana,0.7197
18019,Clark County,Indiana,0.2548
18021,Clay County,Indiana,0.3338
18023,Clinton County,Indiana,0.571
18025,Crawford County,Indiana,0.3889
18027,Daviess County,Indiana,0.6882
18029,Dearborn County,Indiana,0.0799
18031,Decatur County,Indiana,0.2102
18033,Dekalb County,Indiana,0.2334
18035,Delaware County,Indiana,0.5666
18037,Dubois County,Indiana,0.208
18039,Elkhart County,Indiana,0.7701
18041,Fayette County,Indiana,0.6108
18043,Floyd County,Indiana,0.1669
18045,Fountain County,Indiana,0.2032
18047,Franklin County,Indiana,0.1471
18049,Fulton County,Indiana,0.3459
18051,Gibson County,Indiana,0.315
18053,Grant County,Indiana,0.7331
18055,Greene County,Indiana,0.4443
18057,Hamilton County,Indiana,0.0255
18059,Hancock County,Indiana,0.0169
18061,Harrison County,Indiana,0.1866
18063,Hendricks County,Indiana,0.0815
18065,Henry County,Indiana,0.3793
18067,Howard County,Indiana,0.4815
18069,Huntington County,Indiana,0.1248
18071,Jackson County,Indiana,0.5389
18073,Jasper County,Indiana,0.2685
