No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
17117,Macoupin County,Illinois,6.7,6.8
26053,Gogebic County,Michigan,9.3,6.8
51081,Greensville County,Virginia,37.3,6.9
51740,Portsmouth City,Virginia,15.9,6.9
42073,Lawrence County,Pennsylvania,9.4,6.9
54037,Jefferson County,West Virginia,7.8,6.9
42027,Centre County,Pennsylvania,8.3,6.9
31099,Kearney County,Nebraska,7.3,6.9
42059,Greene County,Pennsylvania,19.3,6.9
39035,Cuyahoga County,Ohio,8.7,6.9
42085,Mercer County,Pennsylvania,8.4,6.9
42107,Schuylkill County,Pennsylvania,9.7,6.9
41051,Multnomah County,Oregon,7,6.9
34041,Warren County,New Jersey,No Data,6.9
24510,Baltimore City,Maryland,10.9,6.9
21025,Breathitt County,Kentucky,12,6.9
21075,Fulton County,Kentucky,7.8,6.9
26101,Manistee County,Michigan,9.9,6.9
17101,Lawrence County,Illinois,7.4,6.9
21115,Johnson County,Kentucky,12.1,6.9
17005,Bond County,Illinois,6.3,6.9
18123,Perry County,Indiana,5.4,6.9
21175,Morgan County,Kentucky,9.1,6.9
06009,Calaveras County,California,5.2,6.9
27083,Lyon County,Minnesota,7.4,6.9
17105,Livingston County,Illinois,7.6,6.9
51810,Virginia Beach City,Virginia,9,7
51650,Hampton City,Virginia,12.1,7
54107,Wood County,West Virginia,9.5,7
55009,Brown County,Wisconsin,7.3,7
55101,Racine County,Wisconsin,7.5,7
51093,Isle Of Wight County,Virginia,11.7,7
39149,Shelby County,Ohio,7.2,7
42013,Blair County,Pennsylvania,10,7
51550,Chesapeake City,Virginia,10.7,7
42117,Tioga County,Pennsylvania,9.3,7
55075,Marinette County,Wisconsin,5.5,7
33019,Sullivan County,New Hampshire,10.3,7
21003,Allen County,Kentucky,7,7
55105,Rock County,Wisconsin,7.7,7
39101,Marion County,Ohio,10.8,7
19009,Audubon County,Iowa,9,7
26079,Kalkaska County,Michigan,8.6,7
17127,Massac County,Illinois,7.3,7
39091,Logan County,Ohio,6.9,7
17121,Marion County,Illinois,9.1,7
30069,Petroleum County,Montana,6,7
27033,Cottonwood County,Minnesota,7.3,7
26165,Wexford County,Michigan,10,7
19143,Osceola County,Iowa,6.1,7
17151,Pope County,Illinois,7.4,7
21085,Grayson County,Kentucky,11.6,7
31025,Cass County,Nebraska,7.8,7
21057,Cumberland County,Kentucky,5.3,7
21055,Crittenden County,Kentucky,6.5,7
22005,Ascension Parish,Louisiana,9.6,7
08011,Bent County,Colorado,9.8,7
17135,Montgomery County,Illinois,9.5,7
08059,Jefferson County,Colorado,4,7
53061,Snohomish County,Washington,8,7.1
55029,Door County,Wisconsin,7.3,7.1
51775,Salem City,Virginia,9.1,7.1
39171,Williams County,Ohio,15.2,7.1
23001,Androscoggin County,Maine,7.7,7.1
51101,King William County,Virginia,6.2,7.1
41009,Columbia County,Oregon,10.7,7.1
42121,Venango County,Pennsylvania,11.8,7.1
39109,Miami County,Ohio,6.3,7.1
39061,Hamilton County,Ohio,9.2,7.1
21023,Bracken County,Kentucky,5.8,7.1
21229,Washington County,Kentucky,11.9,7.1
36047,Kings County,New York,7.7,7.1
31111,Lincoln County,Nebraska,9,7.1
27001,Aitkin County,Minnesota,5.2,7.1
21073,Franklin County,Kentucky,10,7.1
31009,Blaine County,Nebraska,6.4,7.1
17085,Jo Daviess County,Illinois,6.4,7.1
17081,Jefferson County,Illinois,9,7.1
26141,Presque Isle County,Michigan,8.8,7.1
17099,Lasalle County,Illinois,8.6,7.1
21095,Harlan County,Kentucky,17,7.1
17065,Hamilton County,Illinois,8.4,7.1
26095,Luce County,Michigan,6.6,7.1
21223,Trimble County,Kentucky,10.1,7.1
08013,Boulder County,Colorado,3.8,7.1
18051,Gibson County,Indiana,5.8,7.1
21011,Bath County,Kentucky,11.7,7.1
06115,Yuba County,California,11.5,7.1
53075,Whitman County,Washington,6.3,7.2
55011,Buffalo County,Wisconsin,10.7,7.2
54081,Raleigh County,West Virginia,11.7,7.2
53053,Pierce County,Washington,9.2,7.2
46119,Sully County,South Dakota,7.9,7.2
42089,Monroe County,Pennsylvania,12,7.2
39161,Van Wert County,Ohio,11.5,7.2
49029,Morgan County,Utah,4.7,7.2
38015,Burleigh County,North Dakota,5.7,7.2
42033,Clearfield County,Pennsylvania,11,7.2
41069,Wheeler County,Oregon,7.3,7.2
39045,Fairfield County,Ohio,10.3,7.2
39093,Lorain County,Ohio,11.9,7.2
39141,Ross County,Ohio,11,7.2
41019,Douglas County,Oregon,8.4,7.2
39135,Preble County,Ohio,11,7.2
26027,Cass County,Michigan,8.6,7.2
31109,Lancaster County,Nebraska,7.3,7.2
38081,Sargent County,North Dakota,6.1,7.2
33001,Belknap County,New Hampshire,8.6,7.2
41013,Crook County,Oregon,8.1,7.2
41001,Baker County,Oregon,11.3,7.2
31089,Holt County,Nebraska,6.8,7.2
17143,Peoria County,Illinois,11.9,7.2
17141,Ogle County,Illinois,9,7.2
27067,Kandiyohi County,Minnesota,4,7.2
31033,Cheyenne County,Nebraska,7.1,7.2
26151,Sanilac County,Michigan,6.4,7.2
21027,Breckinridge County,Kentucky,7.4,7.2
17053,Ford County,Illinois,7.2,7.2
19029,Cass County,Iowa,9.3,7.2
26089,Leelanau County,Michigan,4.1,7.2
17095,Knox County,Illinois,6.6,7.2
21041,Carroll County,Kentucky,10.4,7.2
21047,Christian County,Kentucky,12.5,7.2
26143,Roscommon County,Michigan,7.4,7.2
21183,Ohio County,Kentucky,15.9,7.2
26069,Iosco County,Michigan,8,7.2
21083,Graves County,Kentucky,11.6,7.2
21177,Muhlenberg County,Kentucky,14.3,7.2
21121,Knox County,Kentucky,8.9,7.2
18067,Howard County,Indiana,10.2,7.2
55127,Walworth County,Wisconsin,5.4,7.3
55099,Price County,Wisconsin,5.3,7.3
54091,Taylor County,West Virginia,12.7,7.3
53043,Lincoln County,Washington,6.7,7.3
39123,Ottawa County,Ohio,6.9,7.3
39107,Mercer County,Ohio,6.5,7.3
24031,Montgomery County,Maryland,5.6,7.3
39099,Mahoning County,Ohio,10.9,7.3
33003,Carroll County,New Hampshire,7.5,7.3
18183,Whitley County,Indiana,7.6,7.3
31167,Stanton County,Nebraska,7.8,7.3
26117,Montcalm County,Michigan,7.3,7.3
19063,Emmet County,Iowa,7.3,7.3
17125,Mason County,Illinois,6.7,7.3
18031,Decatur County,Indiana,14.2,7.3
33005,Cheshire County,New Hampshire,7.2,7.3
18029,Dearborn County,Indiana,5.1,7.3
26041,Delta County,Michigan,12.3,7.3
34003,Bergen County,New Jersey,No Data,7.3
21199,Pulaski County,Kentucky,9.7,7.3
23011,Kennebec County,Maine,7.3,7.3
16065,Madison County,Idaho,6.5,7.3
21231,Wayne County,Kentucky,14.4,7.3
41061,Union County,Oregon,10.8,7.3
17015,Carroll County,Illinois,12.8,7.3
18065,Henry County,Indiana,7.1,7.3
21191,Pendleton County,Kentucky,8,7.3
21133,Letcher County,Kentucky,11.7,7.3
54035,Jackson County,West Virginia,9.2,7.4
51043,Clarke County,Virginia,6.3,7.4
55121,Trempealeau County,Wisconsin,5.9,7.4
51059,Fairfax County,Virginia,5.1,7.4
55077,Marquette County,Wisconsin,7.3,7.4
39153,Summit County,Ohio,8.7,7.4
24023,Garrett County,Maryland,8.2,7.4
31181,Webster County,Nebraska,7.4,7.4
31011,Boone County,Nebraska,5.3,7.4
26123,Newaygo County,Michigan,11.6,7.4
39063,Hancock County,Ohio,8.5,7.4
27023,Chippewa County,Minnesota,16.1,7.4
31179,Wayne County,Nebraska,6.5,7.4
26047,Emmet County,Michigan,3.5,7.4
31171,Thomas County,Nebraska,7.9,7.4
31023,Butler County,Nebraska,6.4,7.4
06073,San Diego County,California,6,7.4
21203,Rockcastle County,Kentucky,8.3,7.4
21201,Robertson County,Kentucky,8.2,7.4
19043,Clayton County,Iowa,8.4,7.4
19179,Wapello County,Iowa,12.7,7.4
21113,Jessamine County,Kentucky,6.2,7.4
19039,Clarke County,Iowa,5.6,7.4
26021,Berrien County,Michigan,7.2,7.4
21043,Carter County,Kentucky,16.1,7.4
06093,Siskiyou County,California,7,7.4
06089,Shasta County,California,6.8,7.4
17003,Alexander County,Illinois,5.6,7.4
17069,Hardin County,Illinois,8.8,7.4
09001,Fairfield County,Connecticut,4.5,7.4
21149,Mclean County,Kentucky,7.8,7.4
06043,Mariposa County,California,5.2,7.4
17149,Pike County,Illinois,11.1,7.4
17037,Dekalb County,Illinois,9.3,7.4
06023,Humboldt County,California,5.8,7.4
16001,Ada County,Idaho,6.7,7.4
51121,Montgomery County,Virginia,8.3,7.5
51065,Fluvanna County,Virginia,8,7.5
54061,Monongalia County,West Virginia,7.5,7.5
51019,Bedford County,Virginia,7.5,7.5
55111,Sauk County,Wisconsin,6.5,7.5
53023,Garfield County,Washington,8.6,7.5
51680,Lynchburg City,Virginia,6.3,7.5
51580,Covington City,Virginia,18.2,7.5
39095,Lucas County,Ohio,9.7,7.5
41015,Curry County,Oregon,8.5,7.5
27095,Mille Lacs County,Minnesota,9.2,7.5
34007,Camden County,New Jersey,No Data,7.5
31061,Franklin County,Nebraska,6.3,7.5
18043,Floyd County,Indiana,4.9,7.5
21127,Lawrence County,Kentucky,6,7.5
18159,Tipton County,Indiana,9.2,7.5
18091,Laporte County,Indiana,13.8,7.5
17071,Henderson County,Illinois,6.7,7.5
17047,Edwards County,Illinois,7,7.5
17165,Saline County,Illinois,5.7,7.5
21207,Russell County,Kentucky,15.3,7.5
06007,Butte County,California,6.4,7.5
06003,Alpine County,California,7.5,7.5
51720,Norton City,Virginia,10.7,7.6
51087,Henrico County,Virginia,8,7.6
54103,Wetzel County,West Virginia,10.1,7.6
51700,Newport News City,Virginia,11.7,7.6
51041,Chesterfield County,Virginia,10.8,7.6
51021,Bland County,Virginia,7.9,7.6
55129,Washburn County,Wisconsin,5.7,7.6
53031,Jefferson County,Washington,5,7.6
26009,Antrim County,Michigan,6.3,7.6
51620,Franklin City,Virginia,18.1,7.6
51570,Colonial Heights City,Virginia,7.4,7.6
39147,Seneca County,Ohio,10.1,7.6
39151,Stark County,Ohio,8.7,7.6
42001,Adams County,Pennsylvania,9.1,7.6
39051,Fulton County,Ohio,7.5,7.6
18081,Johnson County,Indiana,10.6,7.6
39097,Madison County,Ohio,10.3,7.6
42031,Clarion County,Pennsylvania,8.3,7.6
39143,Sandusky County,Ohio,8.3,7.6
24041,Talbot County,Maryland,5.5,7.6
21189,Owsley County,Kentucky,10.8,7.6
39025,Clermont County,Ohio,9.9,7.6
34009,Cape May County,New Jersey,No Data,7.6
19005,Allamakee County,Iowa,7.6,7.6
39039,Defiance County,Ohio,12.2,7.6
41039,Lane County,Oregon,7.7,7.6
21143,Lyon County,Kentucky,8.1,7.6
26059,Hillsdale County,Michigan,5.9,7.6
27047,Freeborn County,Minnesota,6.2,7.6
22095,St. John The Baptist Parish,Louisiana,11.5,7.6
26011,Arenac County,Michigan,5.6,7.6
26061,Houghton County,Michigan,6.3,7.6
27129,Renville County,Minnesota,7.4,7.6
24047,Worcester County,Maryland,7.4,7.6
21071,Floyd County,Kentucky,14.8,7.6
06019,Fresno County,California,9.3,7.6
21195,Pike County,Kentucky,12.2,7.6
06031,Kings County,California,13.8,7.6
26051,Gladwin County,Michigan,12.4,7.6
54067,Nicholas County,West Virginia,9.7,7.7
53059,Skamania County,Washington,8.2,7.7
54005,Boone County,West Virginia,17.2,7.7
55067,Langlade County,Wisconsin,7.5,7.7
51145,Powhatan County,Virginia,4.9,7.7
35019,Guadalupe County,New Mexico,8,7.7
42127,Wayne County,Pennsylvania,14,7.7
51155,Pulaski County,Virginia,7.8,7.7
49011,Davis County,Utah,7.4,7.7
55107,Rusk County,Wisconsin,7.8,7.7
31183,Wheeler County,Nebraska,4.3,7.7
39027,Clinton County,Ohio,6.2,7.7
39133,Portage County,Ohio,6.3,7.7
29189,St. Louis County,Missouri,6.3,7.7
34021,Mercer County,New Jersey,No Data,7.7
20179,Sheridan County,Kansas,4.1,7.7
27101,Murray County,Minnesota,5.8,7.7
34023,Middlesex County,New Jersey,No Data,7.7
06077,San Joaquin County,California,8.7,7.7
26071,Iron County,Michigan,9.7,7.7
06103,Tehama County,California,9.4,7.7
32011,Eureka County,Nevada,10.2,7.7
19053,Decatur County,Iowa,6.5,7.7
18061,Harrison County,Indiana,9.9,7.7
21141,Logan County,Kentucky,9.9,7.7
06069,San Benito County,California,9,7.7
17155,Putnam County,Illinois,7,7.7
06097,Sonoma County,California,5.6,7.7
19183,Washington County,Iowa,6.9,7.7
08041,El Paso County,Colorado,5.5,7.7
06087,Santa Cruz County,California,6.4,7.7
10001,Kent County,Delaware,9.9,7.7
21013,Bell County,Kentucky,11,7.7
55057,Juneau County,Wisconsin,6.1,7.8
55119,Taylor County,Wisconsin,5.3,7.8
51003,Albemarle County,Virginia,6.1,7.8
53011,Clark County,Washington,8,7.8
42011,Berks County,Pennsylvania,7.2,7.8
54049,Marion County,West Virginia,9.5,7.8
41071,Yamhill County,Oregon,8,7.8
31063,Frontier County,Nebraska,6,7.8
19185,Wayne County,Iowa,16.6,7.8
41021,Gilliam County,Oregon,8.4,7.8
41017,Deschutes County,Oregon,7.1,7.8
41025,Harney County,Oregon,8.7,7.8
26119,Montmorency County,Michigan,12.5,7.8
26073,Isabella County,Michigan,10.3,7.8
41011,Coos County,Oregon,11.1,7.8
41043,Linn County,Oregon,9.9,7.8
42079,Luzerne County,Pennsylvania,11,7.8
39043,Erie County,Ohio,9,7.8
31117,Mcpherson County,Nebraska,5.2,7.8
26033,Chippewa County,Michigan,8.7,7.8
31031,Cherry County,Nebraska,7.5,7.8
08069,Larimer County,Colorado,4.2,7.8
31131,Otoe County,Nebraska,7.7,7.8
21035,Calloway County,Kentucky,8.6,7.8
17097,Lake County,Illinois,6.6,7.8
27045,Fillmore County,Minnesota,5.3,7.8
17187,Warren County,Illinois,11.4,7.8
21171,Monroe County,Kentucky,6,7.8
21181,Nicholas County,Kentucky,10.8,7.8
21137,Lincoln County,Kentucky,15.8,7.8
21067,Fayette County,Kentucky,7.7,7.8
17029,Coles County,Illinois,13.4,7.8
17091,Kankakee County,Illinois,12.4,7.8
17011,Bureau County,Illinois,11.7,7.8
51790,Staunton City,Virginia,10.9,7.9
55115,Shawano County,Wisconsin,11.2,7.9
54041,Lewis County,West Virginia,8.7,7.9
21001,Adair County,Kentucky,9.2,7.9
39081,Jefferson County,Ohio,9.3,7.9
39017,Butler County,Ohio,9.4,7.9
39113,Montgomery County,Ohio,9.9,7.9
31121,Merrick County,Nebraska,7.3,7.9
41029,Jackson County,Oregon,8.4,7.9
42015,Bradford County,Pennsylvania,7.9,7.9
17181,Union County,Illinois,8.8,7.9
38057,Mercer County,North Dakota,7.5,7.9
31067,Gage County,Nebraska,8.1,7.9
22121,West Baton Rouge Parish,Louisiana,11.7,7.9
21099,Hart County,Kentucky,10.3,7.9
18045,Fountain County,Indiana,8.6,7.9
21165,Menifee County,Kentucky,10.9,7.9
21125,Laurel County,Kentucky,12.6,7.9
23019,Penobscot County,Maine,8.7,7.9
21135,Lewis County,Kentucky,11.7,7.9
18079,Jennings County,Indiana,11.8,7.9
06027,Inyo County,California,11.1,7.9
06025,Imperial County,California,9.9,7.9
18047,Franklin County,Indiana,5.1,7.9
06059,Orange County,California,6.9,7.9
17077,Jackson County,Illinois,10.8,7.9
08033,Dolores County,Colorado,7.4,7.9
06055,Napa County,California,7.3,7.9
21009,Barren County,Kentucky,14.5,7.9
55103,Richland County,Wisconsin,11.1,8
51045,Craig County,Virginia,5.8,8
53051,Pend Oreille County,Washington,6.2,8
54011,Cabell County,West Virginia,8,8
55037,Florence County,Wisconsin,6.2,8
55043,Grant County,Wisconsin,3.3,8
51005,Alleghany County,Virginia,9.4,8
53073,Whatcom County,Washington,6.1,8
39145,Scioto County,Ohio,12.5,8
42075,Lebanon County,Pennsylvania,13.9,8
31165,Sioux County,Nebraska,3.7,8
31005,Arthur County,Nebraska,4.5,8
46083,Lincoln County,South Dakota,7.1,8
39013,Belmont County,Ohio,9.7,8
42063,Indiana County,Pennsylvania,8.2,8
39021,Champaign County,Ohio,10.8,8
21187,Owen County,Kentucky,12.7,8
31149,Rock County,Nebraska,8.9,8
51175,Southampton County,Virginia,19.6,8
33007,Coos County,New Hampshire,10.9,8
38017,Cass County,North Dakota,6.8,8
38047,Logan County,North Dakota,5.6,8
18179,Wells County,Indiana,7.2,8
21147,Mccreary County,Kentucky,25,8
21065,Estill County,Kentucky,7.8,8
30031,Gallatin County,Montana,2.9,8
27099,Mower County,Minnesota,6.7,8
17051,Fayette County,Illinois,7.3,8
31145,Red Willow County,Nebraska,9.6,8
26085,Lake County,Michigan,6.9,8
26129,Ogemaw County,Michigan,10,8
26013,Baraga County,Michigan,14.7,8
22103,St. Tammany Parish,Louisiana,8.6,8
31041,Custer County,Nebraska,7.2,8
20121,Miami County,Kansas,6.7,8
31027,Cedar County,Nebraska,5.4,8
18165,Vermillion County,Indiana,8.2,8
08097,Pitkin County,Colorado,3.7,8
18019,Clark County,Indiana,11.3,8
08091,Ouray County,Colorado,3.5,8
27151,Swift County,Minnesota,10.3,8
01117,Shelby County,Alabama,7.5,8
54089,Summers County,West Virginia,6.2,8.1
55013,Burnett County,Wisconsin,4.4,8.1
54045,Logan County,West Virginia,16.6,8.1
42009,Bedford County,Pennsylvania,8.1,8.1
27117,Pipestone County,Minnesota,4,8.1
22037,East Feliciana Parish,Louisiana,15.6,8.1
23007,Franklin County,Maine,6.2,8.1
19173,Taylor County,Iowa,8.6,8.1
19171,Tama County,Iowa,4.8,8.1
17169,Schuyler County,Illinois,7.8,8.1
21211,Shelby County,Kentucky,5.5,8.1
26023,Branch County,Michigan,9,8.1
17059,Gallatin County,Illinois,6.1,8.1
17055,Franklin County,Illinois,13,8.1
21109,Jackson County,Kentucky,15.4,8.1
17153,Pulaski County,Illinois,9.8,8.1
21119,Knott County,Kentucky,18.5,8.1
08119,Teller County,Colorado,4.7,8.1
18037,Dubois County,Indiana,6.3,8.1
54033,Harrison County,West Virginia,11.6,8.2
53065,Stevens County,Washington,6.1,8.2
51127,New Kent County,Virginia,9.1,8.2
55079,Milwaukee County,Wisconsin,8.7,8.2
54065,Morgan County,West Virginia,12.7,8.2
54027,Hampshire County,West Virginia,6.1,8.2
51061,Fauquier County,Virginia,7.6,8.2
51520,Bristol City,Virginia,9.8,8.2
53015,Cowlitz County,Washington,10.1,8.2
55053,Jackson County,Wisconsin,11.5,8.2
39003,Allen County,Ohio,10.5,8.2
31163,Sherman County,Nebraska,9.2,8.2
39079,Jackson County,Ohio,13.6,8.2
31097,Johnson County,Nebraska,5,8.2
31137,Phelps County,Nebraska,8.5,8.2
46127,Union County,South Dakota,7.3,8.2
39129,Pickaway County,Ohio,12.3,8.2
55001,Adams County,Wisconsin,11.8,8.2
41055,Sherman County,Oregon,6.3,8.2
27021,Cass County,Minnesota,5.7,8.2
31059,Fillmore County,Nebraska,7.4,8.2
42077,Lehigh County,Pennsylvania,10.4,8.2
18009,Blackford County,Indiana,5.9,8.2
26035,Clare County,Michigan,9.1,8.2
22119,Webster Parish,Louisiana,14,8.2
41063,Wallowa County,Oregon,8.2,8.2
20029,Cloud County,Kansas,7.4,8.2
21017,Bourbon County,Kentucky,9.2,8.2
21123,Larue County,Kentucky,5.6,8.2
18077,Jefferson County,Indiana,9.6,8.2
21069,Fleming County,Kentucky,10.7,8.2
20103,Leavenworth County,Kansas,9.9,8.2
18053,Grant County,Indiana,11.8,8.2
08039,Elbert County,Colorado,6.7,8.2
17007,Boone County,Illinois,5.5,8.2
08061,Kiowa County,Colorado,6.5,8.2
18107,Montgomery County,Indiana,8.2,8.2
54019,Fayette County,West Virginia,15.1,8.3
54097,Upshur County,West Virginia,10,8.3
55005,Barron County,Wisconsin,7.3,8.3
42111,Somerset County,Pennsylvania,7.6,8.3
54077,Preston County,West Virginia,15.5,8.3
54083,Randolph County,West Virginia,10.8,8.3
22023,Cameron Parish,Louisiana,9.5,8.3
39083,Knox County,Ohio,8.4,8.3
42105,Potter County,Pennsylvania,11.4,8.3
51540,Charlottesville City,Virginia,5.4,8.3
39023,Clark County,Ohio,12,8.3
31015,Boyd County,Nebraska,9.6,8.3
55003,Ashland County,Wisconsin,6.7,8.3
51177,Spotsylvania County,Virginia,8.8,8.3
31127,Nemaha County,Nebraska,6.1,8.3
36005,Bronx County,New York,10.4,8.3
39167,Washington County,Ohio,9.6,8.3
20149,Pottawatomie County,Kansas,7.3,8.3
38059,Morton County,North Dakota,10.6,8.3
31169,Thayer County,Nebraska,7.9,8.3
38019,Cavalier County,North Dakota,8.5,8.3
21227,Warren County,Kentucky,6.7,8.3
23025,Somerset County,Maine,8.5,8.3
18069,Huntington County,Indiana,13.1,8.3
20131,Nemaha County,Kansas,3.7,8.3
23017,Oxford County,Maine,7,8.3
21039,Carlisle County,Kentucky,10.4,8.3
18147,Spencer County,Indiana,6.9,8.3
19151,Pocahontas County,Iowa,4.9,8.3
21079,Garrard County,Kentucky,8.5,8.3
08019,Clear Creek County,Colorado,5.2,8.3
05053,Grant County,Arkansas,7.4,8.3
18133,Putnam County,Indiana,16.6,8.3
18021,Clay County,Indiana,11.3,8.3
06033,Lake County,California,6.8,8.3
08051,Gunnison County,Colorado,5.4,8.3
51031,Campbell County,Virginia,10.8,8.4
54105,Wirt County,West Virginia,6.3,8.4
53037,Kittitas County,Washington,5.7,8.4
54001,Barbour County,West Virginia,13.6,8.4
55137,Waushara County,Wisconsin,5.7,8.4
54043,Lincoln County,West Virginia,10.4,8.4
54029,Hancock County,West Virginia,10.3,8.4
51830,Williamsburg City,Virginia,4.4,8.4
46011,Brookings County,South Dakota,7.1,8.4
51197,Wythe County,Virginia,8.1,8.4
49043,Summit County,Utah,3.9,8.4
38021,Dickey County,North Dakota,6.2,8.4
42101,Philadelphia County,Pennsylvania,12.4,8.4
42035,Clinton County,Pennsylvania,9.5,8.4
38003,Barnes County,North Dakota,9.3,8.4
36041,Hamilton County,New York,9.5,8.4
41033,Josephine County,Oregon,8.6,8.4
31075,Grant County,Nebraska,6.7,8.4
42039,Crawford County,Pennsylvania,9.2,8.4
26001,Alcona County,Michigan,6,8.4
51191,Washington County,Virginia,8.1,8.4
38065,Oliver County,North Dakota,6.7,8.4
31019,Buffalo County,Nebraska,8,8.4
17175,Stark County,Illinois,6.7,8.4
18033,Dekalb County,Indiana,9.6,8.4
23013,Knox County,Maine,5.6,8.4
21077,Gallatin County,Kentucky,12.5,8.4
18103,Miami County,Indiana,8.9,8.4
21237,Wolfe County,Kentucky,13.7,8.4
17161,Rock Island County,Illinois,9.6,8.4
18145,Shelby County,Indiana,14.4,8.4
18035,Delaware County,Indiana,12.2,8.4
18137,Ripley County,Indiana,8.4,8.4
18163,Vanderburgh County,Indiana,11.5,8.4
19101,Jefferson County,Iowa,5.3,8.4
08093,Park County,Colorado,3.8,8.4
05125,Saline County,Arkansas,8.2,8.4
19069,Franklin County,Iowa,12.3,8.4
06015,Del Norte County,California,12.3,8.4
18041,Fayette County,Indiana,11.6,8.4
51017,Bath County,Virginia,7.3,8.5
51670,Hopewell City,Virginia,13.3,8.5
51690,Martinsville City,Virginia,20.2,8.5
51167,Russell County,Virginia,11.1,8.5
54021,Gilmer County,West Virginia,13.5,8.5
54017,Doddridge County,West Virginia,10.7,8.5
53005,Benton County,Washington,7.7,8.5
31095,Jefferson County,Nebraska,6.6,8.5
30049,Lewis And Clark County,Montana,6.3,8.5
26133,Osceola County,Michigan,9,8.5
29165,Platte County,Missouri,6.8,8.5
42119,Union County,Pennsylvania,8.4,8.5
26031,Cheboygan County,Michigan,7.5,8.5
53003,Asotin County,Washington,11.3,8.5
26153,Schoolcraft County,Michigan,9.4,8.5
31049,Deuel County,Nebraska,4.8,8.5
26113,Missaukee County,Michigan,10.5,8.5
20015,Butler County,Kansas,8.3,8.5
21051,Clay County,Kentucky,11.3,8.5
18075,Jay County,Indiana,9.1,8.5
17201,Winnebago County,Illinois,9.5,8.5
17075,Iroquois County,Illinois,8.3,8.5
18093,Lawrence County,Indiana,8.2,8.5
19177,Van Buren County,Iowa,7.5,8.5
24029,Kent County,Maryland,8,8.5
51183,Sussex County,Virginia,13.4,8.6
51115,Mathews County,Virginia,9.1,8.6
51169,Scott County,Virginia,10.3,8.6
54055,Mercer County,West Virginia,10.2,8.6
49049,Utah County,Utah,6.2,8.6
38093,Stutsman County,North Dakota,4.5,8.6
42115,Susquehanna County,Pennsylvania,9.2,8.6
24019,Dorchester County,Maryland,13.6,8.6
39131,Pike County,Ohio,17.9,8.6
22069,Natchitoches Parish,Louisiana,11.3,8.6
18105,Monroe County,Indiana,7,8.6
22035,East Carroll Parish,Louisiana,7.9,8.6
22019,Calcasieu Parish,Louisiana,11.3,8.6
39087,Lawrence County,Ohio,11.5,8.6
27007,Beltrami County,Minnesota,9.3,8.6
18151,Steuben County,Indiana,8.1,8.6
22063,Livingston Parish,Louisiana,8.6,8.6
22073,Ouachita Parish,Louisiana,12.2,8.6
21053,Clinton County,Kentucky,10.2,8.6
22071,Orleans Parish,Louisiana,9.1,8.6
06099,Stanislaus County,California,8.1,8.6
51071,Giles County,Virginia,7.9,8.6
51137,Orange County,Virginia,9.7,8.7
53071,Walla Walla County,Washington,8.8,8.7
51015,Augusta County,Virginia,10.9,8.7
51600,Fairfax City,Virginia,8.7,8.7
39125,Paulding County,Ohio,11.5,8.7
39119,Muskingum County,Ohio,8.1,8.7
39033,Crawford County,Ohio,9.1,8.7
31087,Hitchcock County,Nebraska,8.8,8.7
38035,Grand Forks County,North Dakota,8,8.7
23027,Waldo County,Maine,5.8,8.7
38049,Mchenry County,North Dakota,8,8.7
05077,Lee County,Arkansas,13.2,8.7
26159,Van Buren County,Michigan,9.8,8.7
06101,Sutter County,California,9.9,8.7
26131,Ontonagon County,Michigan,4.1,8.7
41057,Tillamook County,Oregon,4.4,8.7
18115,Ohio County,Indiana,7.3,8.7
21045,Casey County,Kentucky,9.3,8.7
24045,Wicomico County,Maryland,10,8.7
18073,Jasper County,Indiana,7,8.7
10005,Sussex County,Delaware,7,8.7
27031,Cook County,Minnesota,9,8.7
18005,Bartholomew County,Indiana,10.4,8.7
05069,Jefferson County,Arkansas,16.9,8.7
27153,Todd County,Minnesota,6.1,8.7
08055,Huerfano County,Colorado,7.6,8.7
21153,Magoffin County,Kentucky,12.6,8.7
51033,Caroline County,Virginia,13.7,8.8
53057,Skagit County,Washington,6.3,8.8
54023,Grant County,West Virginia,9.1,8.8
51590,Danville City,Virginia,14.8,8.8
42065,Jefferson County,Pennsylvania,15.9,8.8
39037,Darke County,Ohio,12.7,8.8
51530,Buena Vista City,Virginia,4.4,8.8
41007,Clatsop County,Oregon,7.1,8.8
21061,Edmonson County,Kentucky,7.5,8.8
39077,Huron County,Ohio,6.2,8.8
46059,Hand County,South Dakota,6.4,8.8
19115,Louisa County,Iowa,8,8.8
18141,St. Joseph County,Indiana,7.6,8.8
35033,Mora County,New Mexico,6.5,8.8
31091,Hooker County,Nebraska,5.4,8.8
22003,Allen Parish,Louisiana,9.8,8.8
39053,Gallia County,Ohio,12.7,8.8
22115,Vernon Parish,Louisiana,12.3,8.8
22017,Caddo Parish,Louisiana,12.9,8.8
29047,Clay County,Missouri,7.3,8.8
18153,Sullivan County,Indiana,6.6,8.8
22033,East Baton Rouge Parish,Louisiana,10,8.8
05001,Arkansas County,Arkansas,10,8.8
19193,Woodbury County,Iowa,10.4,8.8
22047,Iberville Parish,Louisiana,14.4,8.8
05085,Lonoke County,Arkansas,10.4,8.8
17089,Kane County,Illinois,8.7,8.8
