No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
19129,Mills County,Iowa,7.3,4.9
51013,Arlington County,Virginia,5.1,5
39159,Union County,Ohio,7.3,5
36095,Schoharie County,New York,11.1,5
36027,Dutchess County,New York,6.5,5
36093,Schenectady County,New York,9.2,5
19011,Benton County,Iowa,8.2,5
19111,Lee County,Iowa,9.9,5
33015,Rockingham County,New Hampshire,7.2,5
19027,Carroll County,Iowa,5.5,5
27003,Anoka County,Minnesota,6.6,5
26043,Dickinson County,Michigan,12.1,5
36015,Chemung County,New York,11.7,5
19121,Madison County,Iowa,6.8,5
06001,Alameda County,California,6.2,5
17063,Grundy County,Illinois,7.2,5
08014,Broomfield County,Colorado,5.4,5
50025,Windham County,Vermont,5.2,5.1
50003,Bennington County,Vermont,7.8,5.1
50005,Caledonia County,Vermont,8.7,5.1
42125,Washington County,Pennsylvania,8.1,5.1
50019,Orleans County,Vermont,7.8,5.1
36023,Cortland County,New York,7.9,5.1
36003,Allegany County,New York,8.4,5.1
36049,Lewis County,New York,10.3,5.1
36037,Genesee County,New York,10.1,5.1
26077,Kalamazoo County,Michigan,8.3,5.1
27069,Kittson County,Minnesota,8.7,5.1
36011,Cayuga County,New York,8.4,5.1
36045,Jefferson County,New York,8.4,5.1
31115,Loup County,Nebraska,10.8,5.1
27015,Brown County,Minnesota,8.9,5.1
27157,Wabasha County,Minnesota,7.2,5.1
36017,Chenango County,New York,9.3,5.1
26161,Washtenaw County,Michigan,6.7,5.1
15001,Hawaii County,Hawaii,8.6,5.1
18057,Hamilton County,Indiana,7.1,5.1
15009,Maui County,Hawaii,7.2,5.1
27147,Steele County,Minnesota,6.1,5.1
24025,Harford County,Maryland,8.3,5.1
09011,New London County,Connecticut,6.6,5.1
55063,La Crosse County,Wisconsin,5.2,5.2
55087,Outagamie County,Wisconsin,6.8,5.2
27053,Hennepin County,Minnesota,5.4,5.2
36097,Schuyler County,New York,8.7,5.2
42053,Forest County,Pennsylvania,19.3,5.2
19057,Des Moines County,Iowa,9.3,5.2
39165,Warren County,Ohio,6.8,5.2
36087,Rockland County,New York,7.2,5.2
24017,Charles County,Maryland,9.7,5.2
27137,St. Louis County,Minnesota,6.3,5.2
19157,Poweshiek County,Iowa,8,5.2
19033,Cerro Gordo County,Iowa,7.2,5.2
06013,Contra Costa County,California,7.6,5.2
21209,Scott County,Kentucky,4.6,5.2
19163,Scott County,Iowa,8.8,5.2
34035,Somerset County,New Jersey,No Data,5.3
36019,Clinton County,New York,9.5,5.3
42007,Beaver County,Pennsylvania,6.6,5.3
39103,Medina County,Ohio,6.4,5.3
36007,Broome County,New York,9.1,5.3
27093,Meeker County,Minnesota,5.8,5.3
36065,Oneida County,New York,10.8,5.3
27169,Winona County,Minnesota,6.4,5.3
27085,Mcleod County,Minnesota,5.8,5.3
34005,Burlington County,New Jersey,No Data,5.3
17049,Effingham County,Illinois,5.2,5.3
27133,Rock County,Minnesota,4.5,5.3
19147,Palo Alto County,Iowa,8.7,5.3
19019,Buchanan County,Iowa,8.8,5.3
17203,Woodford County,Illinois,7.9,5.3
09005,Litchfield County,Connecticut,4.2,5.3
55139,Winnebago County,Wisconsin,6.4,5.4
51199,York County,Virginia,7.1,5.4
55049,Iowa County,Wisconsin,5.6,5.4
42093,Montour County,Pennsylvania,8.5,5.4
36103,Suffolk County,New York,6.4,5.4
