County_FIPS,County,State,Asian-2022-obesity%
42065,Jefferson County,Pennsylvania,0.33
39105,Meigs County,Ohio,0.33
47175,Van Buren County,Tennessee,0.33
38041,Hettinger County,North Dakota,0.33
39131,Pike County,Ohio,0.33
30071,Phillips County,Montana,0.33
29087,Holt County,Missouri,0.33
46102,Oglala Lakota County,South Dakota,0.33
26085,Lake County,Michigan,0.33
22111,Union Parish,Louisiana,0.33
26035,Clare County,Michigan,0.33
31023,Butler County,Nebraska,0.33
31115,Loup County,Nebraska,0.33
5147,Woodruff County,Arkansas,0.33
21177,Muhlenberg County,Kentucky,0.33
21149,Mclean County,Kentucky,0.33
46069,Hyde County,South Dakota,0.34
47095,Lake County,Tennessee,0.34
39161,Van Wert County,Ohio,0.34
47075,Haywood County,Tennessee,0.34
28095,Monroe County,Mississippi,0.34
40053,Grant County,Oklahoma,0.34
40029,Coal County,Oklahoma,0.34
26119,Montmorency County,Michigan,0.34
46023,Charles Mix County,South Dakota,0.34
17139,Moultrie County,Illinois,0.34
35003,Catron County,New Mexico,0.34
21183,Ohio County,Kentucky,0.34
29185,St. Clair County,Missouri,0.34
21133,Letcher County,Kentucky,0.34
17169,Schuyler County,Illinois,0.34
5003,Ashley County,Arkansas,0.34
21197,Powell County,Kentucky,0.34
21137,Lincoln County,Kentucky,0.34
21097,Harrison County,Kentucky,0.34
16041,Franklin County,Idaho,0.34
17087,Johnson County,Illinois,0.34
48507,Zavala County,Texas,0.35
54105,Wirt County,West Virginia,0.35
55051,Iron County,Wisconsin,0.35
28093,Marshall County,Mississippi,0.35
39029,Columbiana County,Ohio,0.35
47171,Unicoi County,Tennessee,0.35
1093,Marion County,Alabama,0.35
20073,Greenwood County,Kansas,0.35
27001,Aitkin County,Minnesota,0.35
21123,Larue County,Kentucky,0.35
17173,Shelby County,Illinois,0.35
29005,Atchison County,Missouri,0.35
21091,Hancock County,Kentucky,0.35
1053,Escambia County,Alabama,0.35
51037,Charlotte County,Virginia,0.35
45001,Abbeville County,South Carolina,0.36
54089,Summers County,West Virginia,0.36
54077,Preston County,West Virginia,0.36
47121,Meigs County,Tennessee,0.36
39125,Paulding County,Ohio,0.36
38005,Benson County,North Dakota,0.36
39001,Adams County,Ohio,0.36
42059,Greene County,Pennsylvania,0.36
39019,Carroll County,Ohio,0.36
46073,Jerauld County,South Dakota,0.36
29173,Ralls County,Missouri,0.36
20087,Jefferson County,Kansas,0.36
22065,Madison Parish,Louisiana,0.36
31133,Pawnee County,Nebraska,0.36
20187,Stanton County,Kansas,0.36
26133,Osceola County,Michigan,0.36
21079,Garrard County,Kentucky,0.36
5075,Lawrence County,Arkansas,0.36
19075,Grundy County,Iowa,0.36
20033,Comanche County,Kansas,0.36
1107,Pickens County,Alabama,0.36
21141,Logan County,Kentucky,0.36
19107,Keokuk County,Iowa,0.36
5111,Poinsett County,Arkansas,0.36
1063,Greene County,Alabama,0.36
54043,Lincoln County,West Virginia,0.37
54103,Wetzel County,West Virginia,0.37
46117,Stanley County,South Dakota,0.37
54087,Roane County,West Virginia,0.37
39163,Vinton County,Ohio,0.37
26009,Antrim County,Michigan,0.37
51005,Alleghany County,Virginia,0.37
29197,Schuyler County,Missouri,0.37
40011,Blaine County,Oklahoma,0.37
29223,Wayne County,Missouri,0.37
42047,Elk County,Pennsylvania,0.37
40033,Cotton County,Oklahoma,0.37
22117,Washington Parish,Louisiana,0.37
28159,Winston County,Mississippi,0.37
19055,Delaware County,Iowa,0.37
22059,Lasalle Parish,Louisiana,0.37
29221,Washington County,Missouri,0.37
22001,Acadia Parish,Louisiana,0.37
18079,Jennings County,Indiana,0.37
21129,Lee County,Kentucky,0.37
1035,Conecuh County,Alabama,0.37
1065,Hale County,Alabama,0.37
51141,Patrick County,Virginia,0.38
46067,Hutchinson County,South Dakota,0.38
46125,Turner County,South Dakota,0.38
39015,Brown County,Ohio,0.38
48011,Armstrong County,Texas,0.38
37131,Northampton County,North Carolina,0.38
31103,Keya Paha County,Nebraska,0.38
31183,Wheeler County,Nebraska,0.38
30035,Glacier County,Montana,0.38
46061,Hanson County,South Dakota,0.38
31081,Hamilton County,Nebraska,0.38
29181,Ripley County,Missouri,0.38
1091,Marengo County,Alabama,0.38
26127,Oceana County,Michigan,0.38
18155,Switzerland County,Indiana,0.38
13263,Talbot County,Georgia,0.38
29055,Crawford County,Missouri,0.38
5105,Perry County,Arkansas,0.38
13025,Brantley County,Georgia,0.38
19085,Harrison County,Iowa,0.38
19037,Chickasaw County,Iowa,0.38
17079,Jasper County,Illinois,0.38
18021,Clay County,Indiana,0.38
13309,Wheeler County,Georgia,0.38
18087,Lagrange County,Indiana,0.38
18147,Spencer County,Indiana,0.38
5129,Searcy County,Arkansas,0.38
54035,Jackson County,West Virginia,0.39
37199,Yancey County,North Carolina,0.39
46057,Hamlin County,South Dakota,0.39
39157,Tuscarawas County,Ohio,0.39
27051,Grant County,Minnesota,0.39
27061,Itasca County,Minnesota,0.39
38049,Mchenry County,North Dakota,0.39
22093,St. James Parish,Louisiana,0.39
21027,Breckinridge County,Kentucky,0.39
27125,Red Lake County,Minnesota,0.39
29013,Bates County,Missouri,0.39
20203,Wichita County,Kansas,0.39
19025,Calhoun County,Iowa,0.39
22123,West Carroll Parish,Louisiana,0.39
21045,Casey County,Kentucky,0.39
22013,Bienville Parish,Louisiana,0.39
17045,Edgar County,Illinois,0.39
27029,Clearwater County,Minnesota,0.39
29215,Texas County,Missouri,0.39
1133,Winston County,Alabama,0.39
1059,Franklin County,Alabama,0.39
51011,Appomattox County,Virginia,0.4
49041,Sevier County,Utah,0.4
39123,Ottawa County,Ohio,0.4
54053,Mason County,West Virginia,0.4
40055,Greer County,Oklahoma,0.4
39077,Huron County,Ohio,0.4
29089,Howard County,Missouri,0.4
18139,Rush County,Indiana,0.4
26157,Tuscola County,Michigan,0.4
28133,Sunflower County,Mississippi,0.4
22083,Richland Parish,Louisiana,0.4
17129,Menard County,Illinois,0.4
31149,Rock County,Nebraska,0.4
26013,Baraga County,Michigan,0.4
26011,Arenac County,Michigan,0.4
18161,Union County,Indiana,0.4
29125,Maries County,Missouri,0.4
18041,Fayette County,Indiana,0.4
47169,Trousdale County,Tennessee,0.41
35011,De Baca County,New Mexico,0.41
40075,Kiowa County,Oklahoma,0.41
47081,Hickman County,Tennessee,0.41
30055,Mccone County,Montana,0.41
27011,Big Stone County,Minnesota,0.41
21221,Trigg County,Kentucky,0.41
17055,Franklin County,Illinois,0.41
29143,New Madrid County,Missouri,0.41
18001,Adams County,Indiana,0.41
17023,Clark County,Illinois,0.41
19077,Guthrie County,Iowa,0.41
8009,Baca County,Colorado,0.41
16059,Lemhi County,Idaho,0.41
17117,Macoupin County,Illinois,0.41
17013,Calhoun County,Illinois,0.41
17009,Brown County,Illinois,0.41
18149,Starke County,Indiana,0.41
19137,Montgomery County,Iowa,0.41
49033,Rich County,Utah,0.42
46089,Mcpherson County,South Dakota,0.42
45069,Marlboro County,South Carolina,0.42
46049,Faulk County,South Dakota,0.42
31139,Pierce County,Nebraska,0.42
29225,Webster County,Missouri,0.42
31181,Webster County,Nebraska,0.42
31049,Deuel County,Nebraska,0.42
27097,Morrison County,Minnesota,0.42
27089,Marshall County,Minnesota,0.42
22021,Caldwell Parish,Louisiana,0.42
31145,Red Willow County,Nebraska,0.42
21003,Allen County,Kentucky,0.42
17051,Fayette County,Illinois,0.42
18075,Jay County,Indiana,0.42
19129,Mills County,Iowa,0.42
22077,Pointe Coupee Parish,Louisiana,0.42
54047,Mcdowell County,West Virginia,0.43
55037,Florence County,Wisconsin,0.43
46109,Roberts County,South Dakota,0.43
54097,Upshur County,West Virginia,0.43
47131,Obion County,Tennessee,0.43
47151,Scott County,Tennessee,0.43
37169,Stokes County,North Carolina,0.43
38027,Eddy County,North Dakota,0.43
26031,Cheboygan County,Michigan,0.43
26117,Montcalm County,Michigan,0.43
29177,Ray County,Missouri,0.43
38065,Oliver County,North Dakota,0.43
38063,Nelson County,North Dakota,0.43
22085,Sabine Parish,Louisiana,0.43
22041,Franklin Parish,Louisiana,0.43
29045,Clark County,Missouri,0.43
20009,Barton County,Kansas,0.43
18117,Orange County,Indiana,0.43
13159,Jasper County,Georgia,0.43
19071,Fremont County,Iowa,0.43
16025,Camas County,Idaho,0.43
18135,Randolph County,Indiana,0.43
21121,Knox County,Kentucky,0.43
5079,Lincoln County,Arkansas,0.43
26101,Manistee County,Michigan,0.43
54067,Nicholas County,West Virginia,0.44
48151,Fisher County,Texas,0.44
47013,Campbell County,Tennessee,0.44
48283,La Salle County,Texas,0.44
47139,Polk County,Tennessee,0.44
46055,Haakon County,South Dakota,0.44
42115,Susquehanna County,Pennsylvania,0.44
31165,Sioux County,Nebraska,0.44
31177,Washington County,Nebraska,0.44
31073,Gosper County,Nebraska,0.44
37187,Washington County,North Carolina,0.44
28115,Pontotoc County,Mississippi,0.44
26003,Alger County,Michigan,0.44
37145,Person County,North Carolina,0.44
29163,Pike County,Missouri,0.44
29207,Stoddard County,Missouri,0.44
46021,Campbell County,South Dakota,0.44
19051,Davis County,Iowa,0.44
29149,Oregon County,Missouri,0.44
31113,Logan County,Nebraska,0.44
30077,Powell County,Montana,0.44
20117,Marshall County,Kansas,0.44
19119,Lyon County,Iowa,0.44
1009,Blount County,Alabama,0.44
13239,Quitman County,Georgia,0.44
21031,Butler County,Kentucky,0.44
21231,Wayne County,Kentucky,0.44
1019,Cherokee County,Alabama,0.44
51027,Buchanan County,Virginia,0.45
47017,Carroll County,Tennessee,0.45
46041,Dewey County,South Dakota,0.45
46053,Gregory County,South Dakota,0.45
54041,Lewis County,West Virginia,0.45
39145,Scioto County,Ohio,0.45
47033,Crockett County,Tennessee,0.45
47109,Mcnairy County,Tennessee,0.45
47099,Lawrence County,Tennessee,0.45
21061,Edmonson County,Kentucky,0.45
29083,Henry County,Missouri,0.45
31155,Saunders County,Nebraska,0.45
30007,Broadwater County,Montana,0.45
29137,Monroe County,Missouri,0.45
38037,Grant County,North Dakota,0.45
20139,Osage County,Kansas,0.45
21157,Marshall County,Kentucky,0.45
29073,Gasconade County,Missouri,0.45
26151,Sanilac County,Michigan,0.45
30059,Meagher County,Montana,0.45
18055,Greene County,Indiana,0.45
12067,Lafayette County,Florida,0.45
51029,Buckingham County,Virginia,0.46
48107,Crosby County,Texas,0.46
51111,Lunenburg County,Virginia,0.46
40007,Beaver County,Oklahoma,0.46
28091,Marion County,Mississippi,0.46
39071,Highland County,Ohio,0.46
46019,Butte County,South Dakota,0.46
29187,St. Francois County,Missouri,0.46
31065,Furnas County,Nebraska,0.46
39031,Coshocton County,Ohio,0.46
31063,Frontier County,Nebraska,0.46
31095,Jefferson County,Nebraska,0.46
40063,Hughes County,Oklahoma,0.46
26001,Alcona County,Michigan,0.46
29201,Scott County,Missouri,0.46
29135,Moniteau County,Missouri,0.46
39079,Jackson County,Ohio,0.46
31107,Knox County,Nebraska,0.46
42051,Fayette County,Pennsylvania,0.46
29219,Warren County,Missouri,0.46
31051,Dixon County,Nebraska,0.46
39073,Hocking County,Ohio,0.46
26051,Gladwin County,Michigan,0.46
1025,Clarke County,Alabama,0.46
17153,Pulaski County,Illinois,0.46
5107,Phillips County,Arkansas,0.46
19089,Howard County,Iowa,0.46
21139,Livingston County,Kentucky,0.46
42073,Lawrence County,Pennsylvania,0.46
48405,San Augustine County,Texas,0.47
46031,Corson County,South Dakota,0.47
49031,Piute County,Utah,0.47
48219,Hockley County,Texas,0.47
24023,Garrett County,Maryland,0.47
21007,Ballard County,Kentucky,0.47
28109,Pearl River County,Mississippi,0.47
39021,Champaign County,Ohio,0.47
27043,Faribault County,Minnesota,0.47
31085,Hayes County,Nebraska,0.47
36049,Lewis County,New York,0.47
31137,Phelps County,Nebraska,0.47
18073,Jasper County,Indiana,0.47
37065,Edgecombe County,North Carolina,0.47
17073,Henry County,Illinois,0.47
1021,Chilton County,Alabama,0.47
13167,Johnson County,Georgia,0.47
21039,Carlisle County,Kentucky,0.47
19097,Jackson County,Iowa,0.47
20107,Linn County,Kansas,0.47
21173,Montgomery County,Kentucky,0.47
21013,Bell County,Kentucky,0.47
1005,Barbour County,Alabama,0.47
5039,Dallas County,Arkansas,0.47
13065,Clinch County,Georgia,0.47
1061,Geneva County,Alabama,0.47
55113,Sawyer County,Wisconsin,0.48
46051,Grant County,South Dakota,0.48
47019,Carter County,Tennessee,0.48
42097,Northumberland County,Pennsylvania,0.48
47077,Henderson County,Tennessee,0.48
42067,Juniata County,Pennsylvania,0.48
29113,Lincoln County,Missouri,0.48
38055,Mclean County,North Dakota,0.48
40073,Kingfisher County,Oklahoma,0.48
29057,Dade County,Missouri,0.48
48337,Montague County,Texas,0.48
17123,Marshall County,Illinois,0.48
20089,Jewell County,Kansas,0.48
26059,Hillsdale County,Michigan,0.48
31147,Richardson County,Nebraska,0.48
21235,Whitley County,Kentucky,0.48
28017,Chickasaw County,Mississippi,0.48
30045,Judith Basin County,Montana,0.48
18065,Henry County,Indiana,0.48
29141,Morgan County,Missouri,0.48
18103,Miami County,Indiana,0.48
22047,Iberville Parish,Louisiana,0.48
18029,Dearborn County,Indiana,0.48
18027,Daviess County,Indiana,0.48
5059,Hot Spring County,Arkansas,0.48
20143,Ottawa County,Kansas,0.48
17189,Washington County,Illinois,0.48
21095,Harlan County,Kentucky,0.48
5121,Randolph County,Arkansas,0.48
16009,Benewah County,Idaho,0.48
47015,Cannon County,Tennessee,0.49
28117,Prentiss County,Mississippi,0.49
40025,Cimarron County,Oklahoma,0.49
28043,Grenada County,Mississippi,0.49
48195,Hansford County,Texas,0.49
39117,Morrow County,Ohio,0.49
22023,Cameron Parish,Louisiana,0.49
37185,Warren County,North Carolina,0.49
37043,Clay County,North Carolina,0.49
42009,Bedford County,Pennsylvania,0.49
42123,Warren County,Pennsylvania,0.49
42121,Venango County,Pennsylvania,0.49
27093,Meeker County,Minnesota,0.49
29063,Dekalb County,Missouri,0.49
31175,Valley County,Nebraska,0.49
19117,Lucas County,Iowa,0.49
31021,Burt County,Nebraska,0.49
30067,Park County,Montana,0.49
26109,Menominee County,Michigan,0.49
19135,Monroe County,Iowa,0.49
21215,Spencer County,Kentucky,0.49
31003,Antelope County,Nebraska,0.49
1085,Lowndes County,Alabama,0.49
21081,Grant County,Kentucky,0.49
16007,Bear Lake County,Idaho,0.49
21053,Clinton County,Kentucky,0.49
51045,Craig County,Virginia,0.5
55013,Burnett County,Wisconsin,0.5
54091,Taylor County,West Virginia,0.5
51195,Wise County,Virginia,0.5
39007,Ashtabula County,Ohio,0.5
42111,Somerset County,Pennsylvania,0.5
49023,Juab County,Utah,0.5
45017,Calhoun County,South Carolina,0.5
55107,Rusk County,Wisconsin,0.5
40117,Pawnee County,Oklahoma,0.5
28127,Simpson County,Mississippi,0.5
28077,Lawrence County,Mississippi,0.5
31159,Seward County,Nebraska,0.5
19173,Taylor County,Iowa,0.5
39087,Lawrence County,Ohio,0.5
30023,Deer Lodge County,Montana,0.5
20099,Labette County,Kansas,0.5
31011,Boone County,Nebraska,0.5
21103,Henry County,Kentucky,0.5
27159,Wadena County,Minnesota,0.5
21099,Hart County,Kentucky,0.5
17069,Hardin County,Illinois,0.5
22031,De Soto Parish,Louisiana,0.5
26067,Ionia County,Michigan,0.5
28007,Attala County,Mississippi,0.5
17151,Pope County,Illinois,0.5
5141,Van Buren County,Arkansas,0.5
28101,Newton County,Mississippi,0.5
13319,Wilkinson County,Georgia,0.5
20197,Wabaunsee County,Kansas,0.5
2158,Kusilvak Census Area,Alaska,0.5
47053,Gibson County,Tennessee,0.51
54029,Hancock County,West Virginia,0.51
55011,Buffalo County,Wisconsin,0.51
55007,Bayfield County,Wisconsin,0.51
51139,Page County,Virginia,0.51
45061,Lee County,South Carolina,0.51
45087,Union County,South Carolina,0.51
54017,Doddridge County,West Virginia,0.51
42113,Sullivan County,Pennsylvania,0.51
48305,Lynn County,Texas,0.51
30053,Lincoln County,Montana,0.51
29081,Harrison County,Missouri,0.51
20183,Smith County,Kansas,0.51
39059,Guernsey County,Ohio,0.51
13289,Twiggs County,Georgia,0.51
28031,Covington County,Mississippi,0.51
37017,Bladen County,North Carolina,0.51
29015,Benton County,Missouri,0.51
19171,Tama County,Iowa,0.51
12079,Madison County,Florida,0.51
1099,Monroe County,Alabama,0.51
22097,St. Landry Parish,Louisiana,0.51
27021,Cass County,Minnesota,0.51
26091,Lenawee County,Michigan,0.51
5065,Izard County,Arkansas,0.51
22049,Jackson Parish,Louisiana,0.51
16029,Caribou County,Idaho,0.51
30073,Pondera County,Montana,0.51
20165,Rush County,Kansas,0.51
5135,Sharp County,Arkansas,0.51
1127,Walker County,Alabama,0.51
28099,Neshoba County,Mississippi,0.51
17039,De Witt County,Illinois,0.51
20195,Trego County,Kansas,0.51
27153,Todd County,Minnesota,0.51
51183,Sussex County,Virginia,0.52
54083,Randolph County,West Virginia,0.52
55065,Lafayette County,Wisconsin,0.52
51089,Henry County,Virginia,0.52
48235,Irion County,Texas,0.52
55123,Vernon County,Wisconsin,0.52
48387,Red River County,Texas,0.52
45081,Saluda County,South Carolina,0.52
28027,Coahoma County,Mississippi,0.52
39037,Darke County,Ohio,0.52
28025,Clay County,Mississippi,0.52
39141,Ross County,Ohio,0.52
29155,Pemiscot County,Missouri,0.52
41025,Harney County,Oregon,0.52
26019,Benzie County,Michigan,0.52
27167,Wilkin County,Minnesota,0.52
38067,Pembina County,North Dakota,0.52
13291,Union County,Georgia,0.52
28029,Copiah County,Mississippi,0.52
28067,Jones County,Mississippi,0.52
28019,Choctaw County,Mississippi,0.52
20027,Clay County,Kansas,0.52
21225,Union County,Kentucky,0.52
26123,Newaygo County,Michigan,0.52
27035,Crow Wing County,Minnesota,0.52
37009,Ashe County,North Carolina,0.52
19151,Pocahontas County,Iowa,0.52
